RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
1,LeSean McCoy (FA),207,1080,5.2,62,0,7,78,90,592,7.6,2,1,15,297.2,19.8,2.0%,RB,297,19.8
2,Adrian Peterson (TEN),283,1298,4.6,80,0,12,36,50,341,9.5,1,1,15,275.9,18.4,59.8%,RB,333,22.2
3,Frank Gore (FA),203,853,4.2,64,0,3,46,72,452,9.8,2,2,11,202.5,18.4,12.1%,RB,275,25.0
4,Patrick Taylor Jr. (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
5,Larry Rountree III (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,RB,0,
6,DeeJay Dallas (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,RB,0,
7,Adrian Killins Jr. (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
8,Darius Bradwell (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
9,Tony Jones Jr. (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.0%,RB,0,
10,Darius Anderson (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
11,Salvon Ahmed (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.0%,RB,0,
12,Joshua Kelley (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,RB,0,
13,Artavis Pierce (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
14,Sewo Olonilua (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
15,Jason Huntley (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
16,Rico Dowdle (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
17,Ty'Son Williams (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.8%,RB,0,
18,James Robinson (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,97.7%,RB,0,
19,JaMycal Hasty (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%,RB,0,
20,Antonio Gibson (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,96.0%,RB,0,
21,Scottie Phillips (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,RB,0,
22,J.J. Taylor (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.7%,RB,0,
23,Javon Leake (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
24,Craig Reynolds (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
25,Austin Walter (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
