Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
S.Alexander,SEA,20.294736842105262,22.63157894736842,111.36842105263158,70.25263157894737,73.57736842105263,29,2116.0,29.0,385.6
L.Johnson,KC,18.4375,21.0,109.375,63.27875,70.364375,20,1750.0,20.0,295.0
L.Tomlinson,LAC,15.900000000000002,21.3125,91.5,74.85374999999999,70.583125,18,1464.0,18.0,254.4
T.Barber,NYG,14.370588235294118,21.823529411764707,111.82352941176471,78.16647058823528,83.78117647058824,9,1903.0,9.0,244.3
E.James,IND,15.0125,23.3125,97.625,80.234375,92.235,14,1562.0,14.0,240.20000000000002
C.Portis,WAS,12.944444444444445,21.38888888888889,89.44444444444444,65.90833333333333,69.30000000000001,12,1610.0,12.0,233.0
R.Johnson,CIN,13.494117647058825,20.58823529411765,89.05882352941177,72.5005882352941,76.15705882352941,13,1514.0,13.0,229.4
M.Anderson,DEN,11.876470588235295,15.705882352941176,65.82352941176471,47.49235294117647,41.39411764705882,15,1119.0,15.0,201.9
T.Jones,CHI,12.218749999999998,20.875,88.4375,71.47312499999998,72.48562500000001,9,1415.0,9.0,195.5
W.Parker,PIT,9.089473684210526,16.42105263157895,75.10526315789474,49.127894736842094,55.87789473684211,5,1427.0,5.0,172.70000000000002
C.Williams,TB,10.98,20.533333333333335,81.8,71.44,69.66266666666667,6,1227.0,7.0,164.7
W.Dunn,ATL,9.975000000000001,17.5,88.5,53.701249999999995,59.80749999999999,3,1416.0,3.0,159.6
L.Jordan,LV,11.192857142857145,19.5,73.21428571428571,83.41999999999999,82.60642857142857,9,1027.0,9.0,156.7
C.Dillon,NE,11.923076923076922,18.384615384615383,63.84615384615385,68.48923076923076,71.99384615384614,12,830.0,12.0,155.0
W.McGahee,BUF,9.668750000000001,20.3125,77.9375,74.98375,75.326875,5,1247.0,5.0,154.7
S.Jackson,LA,10.173333333333336,17.0,69.73333333333333,74.98800000000001,73.17333333333335,8,1046.0,8.0,152.60000000000002
T.Bell,DEN,9.06875,11.5,60.6875,34.215625,40.459375,8,971.0,8.0,145.10000000000002
R.Droughns,CLE,8.45,19.375,77.0,78.92125,83.355,2,1232.0,2.0,135.2
J.Jones,DAL,9.946153846153846,19.76923076923077,76.38461538461539,62.647692307692296,67.3176923076923,5,993.0,5.0,129.3
J.Bettis,PIT,7.925000000000002,10.375,34.25,29.108125000000005,24.19125,12,548.0,12.0,126.80000000000001
S.Davis,CAR,9.738461538461538,13.76923076923077,42.0,45.63153846153846,45.59153846153846,12,546.0,12.0,126.6
D.Foster,CAR,7.100000000000001,14.647058823529411,63.94117647058823,47.445882352941176,53.652352941176474,2,1087.0,2.0,120.7
C.Brown,TEN,7.673333333333332,14.933333333333334,56.733333333333334,60.417333333333325,62.397333333333336,5,851.0,5.0,115.10000000000001
R.Brown,MIA,7.646666666666666,13.8,60.46666666666667,52.79333333333333,53.937999999999995,4,907.0,4.0,114.7
R.Williams,MIA,9.191666666666668,14.0,61.916666666666664,47.39166666666667,46.45083333333333,6,743.0,6.0,110.3
D.Davis,HOU,9.963636363636363,20.90909090909091,88.72727272727273,75.69727272727272,70.93727272727273,2,976.0,2.0,109.60000000000001
J.Lewis,BAL,7.24,17.933333333333334,60.4,64.10866666666666,60.057333333333325,3,906.0,3.0,108.60000000000001
C.Martin,NYJ,8.625,18.333333333333332,61.25,79.02749999999999,78.4475,5,735.0,5.0,103.5
F.Taylor,JAX,8.258333333333333,16.833333333333332,67.58333333333333,57.873333333333335,54.33916666666667,3,811.0,3.0,99.10000000000001
M.Vick,ATL,6.466666666666666,6.733333333333333,40.666666666666664,19.68066666666667,24.410000000000007,6,610.0,6.0,97.0
K.Jones,DET,7.415384615384616,14.307692307692308,51.07692307692308,52.76153846153846,54.222307692307695,5,664.0,5.0,96.4
S.Gado,GB,11.775,17.875,72.75,67.03625,66.72,6,582.0,6.0,94.2
T.Duckett,ATL,6.571428571428571,8.642857142857142,27.142857142857142,26.212142857142858,14.328571428571431,8,380.0,9.0,92.0
A.Smith,NO,5.61875,10.375,41.1875,40.38375,41.735625,3,659.0,4.0,89.9
M.Barber,DAL,6.983333333333333,11.5,44.833333333333336,36.545,39.009166666666665,5,538.0,5.0,83.80000000000001
G.Jones,JAX,5.92857142857143,10.928571428571429,42.142857142857146,34.08857142857143,39.183571428571426,4,590.0,4.0,83.0
P.Holmes,KC,11.585714285714284,17.0,64.42857142857143,56.888571428571424,50.15571428571428,6,451.0,6.0,81.1
B.Westbrook,PHI,6.616666666666667,13.083333333333334,51.166666666666664,61.4025,64.6075,3,614.0,3.0,79.4
F.Gore,SF,5.628571428571428,9.071428571428571,43.42857142857143,31.367142857142852,39.16285714285714,3,608.0,3.0,78.80000000000001
K.Barlow,SF,6.341666666666666,14.666666666666666,48.416666666666664,57.64166666666667,51.862500000000004,3,581.0,3.0,76.1
M.Moore,MIN,5.157142857142858,11.071428571428571,47.285714285714285,46.9957142857143,49.54071428571428,1,662.0,1.0,72.2
