PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Larry Fitzgerald (FA),WR,154,9.62,51.95,0,0.0,16,269.1,16.8
A.J. Green (ARI),WR,115,7.67,56.52,5,0.33,15,218.0,14.5
Dez Bryant (FA),WR,103,6.87,61.17,1,0.07,15,208.3,13.9
Julio Jones (TEN),WR,95,7.31,56.84,6,0.46,13,201.5,15.5
Antonio Brown (TB),WR,124,7.75,55.65,7,0.44,16,195.9,12.2
DeSean Jackson (LV),WR,104,6.93,55.77,7,0.47,15,180.2,12.0
Andre Roberts (LAC),WR,98,6.12,52.04,3,0.19,16,124.3,7.8
Golden Tate (FA),WR,58,3.62,60.34,5,0.31,16,92.6,5.8
Emmanuel Sanders (BUF),WR,43,3.91,51.16,0,0.0,11,63.4,5.8
Randall Cobb (GB),WR,31,2.07,80.65,2,0.13,15,63.0,4.2
Ted Ginn Jr. (FA),WR,33,2.36,57.58,8,0.57,14,47.8,3.4
Julian Edelman (FA),WR,8,0.62,50.0,4,0.31,13,6.2,0.5
Matthew Slater (NE),WR,3,0.19,33.33,0,0.0,16,3.6,0.2
Scotty Miller (TB),WR,0,,,0,,0,0.0,0.0
Trinity Benson (DET),WR,0,,,0,,0,0.0,0.0
Tyron Johnson (JAC),WR,0,,,0,,0,0.0,0.0
Jeff Smith (NYJ),WR,0,,,0,,0,0.0,0.0
Penny Hart (SEA),WR,0,,,0,,0,0.0,0.0
Quinton Bell (ATL),WR,0,,,0,,0,0.0,0.0
Darius Slayton (NYG),WR,0,,,0,,0,0.0,0.0
Jody Fortson (KC),WR,0,,,0,,0,0.0,0.0
Trenton Irwin (CIN),WR,0,,,0,,0,0.0,0.0
John Ursua (SEA),WR,0,,,0,,0,0.0,0.0
Bisi Johnson (MIN),WR,0,,,0,,0,0.0,0.0
D.J. Montgomery (NYJ),WR,0,,,0,,0,0.0,0.0
Steven Sims Jr. (PIT),WR,0,,,0,,0,0.0,0.0
Jalen Guyton (LAC),WR,0,,,0,,0,0.0,0.0
Jason Moore Jr. (LAC),WR,0,,,0,,0,0.0,0.0
Kabion Ento (GB),WR,0,,,0,,0,0.0,0.0
Nsimba Webster (CHI),WR,0,,,0,,0,0.0,0.0
Alex Bachman (NYG),WR,0,,,0,,0,0.0,0.0
Malik Henry (NO),WR,0,,,0,,0,0.0,0.0
Deonte Harris (NO),WR,0,,,0,,0,0.0,0.0
Jayson Stanley (SEA),WR,0,,,0,,0,0.0,0.0
Olamide Zaccheaus (ATL),WR,0,,,0,,0,0.0,0.0
Malik Taylor (GB),WR,0,,,0,,0,0.0,0.0
Juwann Winfree (GB),WR,0,,,0,,0,0.0,0.0
Bryan Edwards (LV),WR,0,,,0,,0,0.0,0.0
Parris Campbell (IND),WR,0,,,0,,0,0.0,0.0
Andy Isabella (ARI),WR,0,,,0,,0,0.0,0.0
Terry Godwin (JAC),WR,0,,,0,,0,0.0,0.0
Alexander Hollins (CLE),WR,0,,,0,,0,0.0,0.0
Terry McLaurin (WAS),WR,0,,,0,,0,0.0,0.0
Hunter Renfrow (LV),WR,0,,,0,,0,0.0,0.0
Collin Johnson (NYG),WR,0,,,0,,0,0.0,0.0
Deebo Samuel (SF),WR,0,,,0,,0,0.0,0.0
Lil'Jordan Humphrey (NO),WR,0,,,0,,0,0.0,0.0
Ashton Dulin (IND),WR,0,,,0,,0,0.0,0.0
Miles Boykin (BAL),WR,0,,,0,,0,0.0,0.0
Tyler Johnson (TB),WR,0,,,0,,0,0.0,0.0
Chase Claypool (PIT),WR,0,,,0,,0,0.0,0.0
Stanley Morgan Jr. (CIN),WR,0,,,0,,0,0.0,0.0
KeeSean Johnson (PHI),WR,0,,,0,,0,0.0,0.0
Diontae Johnson (PIT),WR,0,,,0,,0,0.0,0.0
Preston Williams (MIA),WR,0,,,0,,0,0.0,0.0
Antoine Wesley (ARI),WR,0,,,0,,0,0.0,0.0
Anthony Ratliff-Williams (SEA),WR,0,,,0,,0,0.0,0.0
Jakobi Meyers (NE),WR,0,,,0,,0,0.0,0.0
Mecole Hardman (KC),WR,0,,,0,,0,0.0,0.0
Travis Fulgham (MIA),WR,0,,,0,,0,0.0,0.0
Greg Dortch (ARI),WR,0,,,0,,0,0.0,0.0
David Sills V (NYG),WR,0,,,0,,0,0.0,0.0
Cody Thompson (SEA),WR,0,,,0,,0,0.0,0.0
Davion Davis (HOU),WR,0,,,0,,0,0.0,0.0
DeAndre Thompkins (GB),WR,0,,,0,,0,0.0,0.0
Thomas Ives (CHI),WR,0,,,0,,0,0.0,0.0
Nick Westbrook-Ikhine (TEN),WR,0,,,0,,0,0.0,0.0
Darnell Mooney (CHI),WR,0,,,0,,0,0.0,0.0
Tylan Wallace (BAL),WR,0,,,0,,0,0.0,0.0
Amon-Ra St. Brown (DET),WR,0,,,0,,0,0.0,0.0
Rondale Moore (ARI),WR,0,,,0,,0,0.0,0.0
Rashod Bateman (BAL),WR,0,,,0,,0,0.0,0.0
Jaylen Waddle (MIA),WR,0,,,0,,0,0.0,0.0
Ja'Marr Chase (CIN),WR,0,,,0,,0,0.0,0.0
Isaiah Coulter (CHI),WR,0,,,0,,0,0.0,0.0
Kirk Merritt (MIA),WR,0,,,0,,0,0.0,0.0
Malcolm Perry (NE),WR,0,,,0,,0,0.0,0.0
Cody White (PIT),WR,0,,,0,,0,0.0,0.0
Dezmon Patmon (IND),WR,0,,,0,,0,0.0,0.0
Ja'Marcus Bradley (CLE),WR,0,,,0,,0,0.0,0.0
Freddie Swain (SEA),WR,0,,,0,,0,0.0,0.0
Quez Watkins (PHI),WR,0,,,0,,0,0.0,0.0
K.J. Osborn (MIN),WR,0,,,0,,0,0.0,0.0
Aaron Parker (CAR),WR,0,,,0,,0,0.0,0.0
Chris Finke (KC),WR,0,,,0,,0,0.0,0.0
Mason Kinsey (TEN),WR,0,,,0,,0,0.0,0.0
Lawrence Cager (CLE),WR,0,,,0,,0,0.0,0.0
Isaiah Zuber (CLE),WR,0,,,0,,0,0.0,0.0
Trishton Jackson (MIN),WR,0,,,0,,0,0.0,0.0
Aleva Hifo (ARI),WR,0,,,0,,0,0.0,0.0
Josh Hammond (JAC),WR,0,,,0,,0,0.0,0.0
DeMichael Harris (IND),WR,0,,,0,,0,0.0,0.0
Matt Cole (CAR),WR,0,,,0,,0,0.0,0.0
JoJo Ward (CLE),WR,0,,,0,,0,0.0,0.0
Chris Rowland (TEN),WR,0,,,0,,0,0.0,0.0
Jalen McCleskey (NO),WR,0,,,0,,0,0.0,0.0
Josh Pearson (TB),WR,0,,,0,,0,0.0,0.0
Travis Jonsen (DET),WR,0,,,0,,0,0.0,0.0
Derrick Dillon (NYG),WR,0,,,0,,0,0.0,0.0
Rysen John (NYG),WR,0,,,0,,0,0.0,0.0
Manasseh Bailey (NYJ),WR,0,,,0,,0,0.0,0.0
Kendall Hinton (DEN),WR,0,,,0,,0,0.0,0.0
Kristian Wilkerson (NE),WR,0,,,0,,0,0.0,0.0
Tyler Simmons (PIT),WR,0,,,0,,0,0.0,0.0
Jaylon Moore (BAL),WR,0,,,0,,0,0.0,0.0
Tyrie Cleveland (DEN),WR,0,,,0,,0,0.0,0.0
J.J. Arcega-Whiteside (PHI),WR,0,,,0,,0,0.0,0.0
KJ Hamler (DEN),WR,0,,,0,,0,0.0,0.0
Brandon Aiyuk (SF),WR,0,,,0,,0,0.0,0.0
Justin Jefferson (MIN),WR,0,,,0,,0,0.0,0.0
DeVonta Smith (PHI),WR,0,,,0,,0,0.0,0.0
Laviska Shenault Jr. (JAC),WR,0,,,0,,0,0.0,0.0
Jalen Reagor (PHI),WR,0,,,0,,0,0.0,0.0
Tee Higgins (CIN),WR,0,,,0,,0,0.0,0.0
CeeDee Lamb (DAL),WR,0,,,0,,0,0.0,0.0
Jerry Jeudy (DEN),WR,0,,,0,,0,0.0,0.0
Michael Pittman Jr. (IND),WR,0,,,0,,0,0.0,0.0
Gunner Olszewski (NE),WR,0,,,0,,0,0.0,0.0
Damion Willis (WAS),WR,0,,,0,,0,0.0,0.0
Tom Kennedy (DET),WR,0,,,0,,0,0.0,0.0
Devin Duvernay (BAL),WR,0,,,0,,0,0.0,0.0
Donovan Peoples-Jones (CLE),WR,0,,,0,,0,0.0,0.0
Stephen Sullivan (CAR),WR,0,,,0,,0,0.0,0.0
Van Jefferson (LAR),WR,0,,,0,,0,0.0,0.0
Binjimen Victor (BAL),WR,0,,,0,,0,0.0,0.0
Jauan Jennings (SF),WR,0,,,0,,0,0.0,0.0
Lynn Bowden Jr. (MIA),WR,0,,,0,,0,0.0,0.0
Juwan Johnson (NO),WR,0,,,0,,0,0.0,0.0
Quartney Davis (IND),WR,0,,,0,,0,0.0,0.0
Tarik Black (IND),WR,0,,,0,,0,0.0,0.0
Tyler Vaughns (PIT),WR,0,,,0,,0,0.0,0.0
Marquez Callaway (NO),WR,0,,,0,,0,0.0,0.0
Easop Winston Jr. (NO),WR,0,,,0,,0,0.0,0.0
Aaron Fuller (SEA),WR,0,,,0,,0,0.0,0.0
Joe Reed (LAC),WR,0,,,0,,0,0.0,0.0
Kalija Lipscomb (TEN),WR,0,,,0,,0,0.0,0.0
Gabriel Davis (BUF),WR,0,,,0,,0,0.0,0.0
Quintez Cephus (DET),WR,0,,,0,,0,0.0,0.0
Isaiah Hodgins (BUF),WR,0,,,0,,0,0.0,0.0
James Proche II (BAL),WR,0,,,0,,0,0.0,0.0
Denzel Mims (NYJ),WR,0,,,0,,0,0.0,0.0
Antonio Gandy-Golden (WAS),WR,0,,,0,,0,0.0,0.0
KJ Hill Jr. (LAC),WR,0,,,0,,0,0.0,0.0
John Hightower (PHI),WR,0,,,0,,0,0.0,0.0
D.K. Metcalf (SEA),WR,0,,,0,,0,0.0,0.0
Hakeem Butler (PHI),WR,0,,,0,,0,0.0,0.0
Greg Ward (PHI),WR,0,,,0,,0,0.0,0.0
Cyril Grayson Jr. (TB),WR,0,,,0,,0,0.0,0.0
Kendrick Bourne (NE),WR,0,,,0,,0,0.0,0.0
Michael Gallup (DAL),WR,0,,,0,,0,0.0,0.0
Jester Weah (CHI),WR,0,,,0,,0,0.0,0.0
Christian Kirk (ARI),WR,0,,,0,,0,0.0,0.0
D.J. Moore (CAR),WR,0,,,0,,0,0.0,0.0
Dante Pettis (NYG),WR,0,,,0,,0,0.0,0.0
Deon Cain (PHI),WR,0,,,0,,0,0.0,0.0
Cedrick Wilson Jr. (DAL),WR,0,,,0,,0,0.0,0.0
Tre'Quan Smith (NO),WR,0,,,0,,0,0.0,0.0
Calvin Ridley (ATL),WR,0,,,0,,0,0.0,0.0
Marcell Ateman (LV),WR,0,,,0,,0,0.0,0.0
Anthony Miller (PIT),WR,0,,,0,,0,0.0,0.0
James Washington (PIT),WR,0,,,0,,0,0.0,0.0
Courtland Sutton (DEN),WR,0,,,0,,0,0.0,0.0
Brandon Zylstra (CAR),WR,0,,,0,,0,0.0,0.0
River Cracraft (SF),WR,0,,,0,,0,0.0,0.0
Braxton Berrios (NYJ),WR,0,,,0,,0,0.0,0.0
Keelan Cole Sr. (NYJ),WR,0,,,0,,0,0.0,0.0
JoJo Natson (CLE),WR,0,,,0,,0,0.0,0.0
C.J. Board (NYG),WR,0,,,0,,0,0.0,0.0
Jamal Agnew (JAC),WR,0,,,0,,0,0.0,0.0
Tanner Gentry (BUF),WR,0,,,0,,0,0.0,0.0
Ryan Switzer (CLE),WR,0,,,0,,0,0.0,0.0
Justin Hardee (NYJ),WR,0,,,0,,0,0.0,0.0
Deante Burton (DAL),WR,0,,,0,,0,0.0,0.0
Zach Pascal (IND),WR,0,,,0,,0,0.0,0.0
Isaac Whitney (ARI),WR,0,,,0,,0,0.0,0.0
Marcus Kemp (KC),WR,0,,,0,,0,0.0,0.0
J'Mon Moore (ATL),WR,0,,,0,,0,0.0,0.0
Kelvin Harmon (WAS),WR,0,,,0,,0,0.0,0.0
Caleb Scott (LV),WR,0,,,0,,0,0.0,0.0
Cam Sims (WAS),WR,0,,,0,,0,0.0,0.0
De'Mornay Pierson-El (DEN),WR,0,,,0,,0,0.0,0.0
Devin Ross (NE),WR,0,,,0,,0,0.0,0.0
Rico Gafford (DEN),WR,0,,,0,,0,0.0,0.0
Jordan Veasy (HOU),WR,0,,,0,,0,0.0,0.0
Cameron Batson (TEN),WR,0,,,0,,0,0.0,0.0
Marquise Brown (BAL),WR,0,,,0,,0,0.0,0.0
N'Keal Harry (NE),WR,0,,,0,,0,0.0,0.0
A.J. Brown (TEN),WR,0,,,0,,0,0.0,0.0
Shaq Roland (CHI),WR,0,,,0,,0,0.0,0.0
Malik Turner (DAL),WR,0,,,0,,0,0.0,0.0
KhaDarel Hodge (DET),WR,0,,,0,,0,0.0,0.0
Trent Sherfield (SF),WR,0,,,0,,0,0.0,0.0
D.J. Chark Jr. (JAC),WR,0,,,0,,0,0.0,0.0
Russell Gage (ATL),WR,0,,,0,,0,0.0,0.0
Justin Watson (TB),WR,0,,,0,,0,0.0,0.0
Jeff Badet (LV),WR,0,,,0,,0,0.0,0.0
Dylan Cantrell (WAS),WR,0,,,0,,0,0.0,0.0
Damion Ratley (DAL),WR,0,,,0,,0,0.0,0.0
Ray-Ray McCloud (PIT),WR,0,,,0,,0,0.0,0.0
Marquez Valdes-Scantling (GB),WR,0,,,0,,0,0.0,0.0
Keke Coutee (IND),WR,0,,,0,,0,0.0,0.0
DaeSean Hamilton (DEN),WR,0,,,0,,0,0.0,0.0
Robert Foster (DAL),WR,0,,,0,,0,0.0,0.0
Javon Wims (LV),WR,0,,,0,,0,0.0,0.0
Equanimeous St. Brown (GB),WR,0,,,0,,0,0.0,0.0
Auden Tate (CIN),WR,0,,,0,,0,0.0,0.0
Richie James Jr. (SF),WR,0,,,0,,0,0.0,0.0
Allen Lazard (GB),WR,0,,,0,,0,0.0,0.0
Keith Kirkwood (CAR),WR,0,,,0,,0,0.0,0.0
Christian Blake (ATL),WR,0,,,0,,0,0.0,0.0
Brandon Powell (LAR),WR,0,,,0,,0,0.0,0.0
Derrick Willies (CLE),WR,0,,,0,,0,0.0,0.0
Byron Pringle (KC),WR,0,,,0,,0,0.0,0.0
Vyncint Smith (NYJ),WR,0,,,0,,0,0.0,0.0
Dan Chisena (MIN),WR,0,,,0,,0,0.0,0.0
Dax Milne (WAS),WR,0,,,0,,0,0.0,0.0
Frank Darby (ATL),WR,0,,,0,,0,0.0,0.0
Warren Jackson (LAR),WR,0,,,0,,0,0.0,0.0
Joshua Palmer (LAC),WR,0,,,0,,0,0.0,0.0
Ben Skowronek (LAR),WR,0,,,0,,0,0.0,0.0
Damon Hazelton (HOU),WR,0,,,0,,0,0.0,0.0
Cornell Powell (KC),WR,0,,,0,,0,0.0,0.0
Cade Johnson (SEA),WR,0,,,0,,0,0.0,0.0
Austin Watkins Jr. (SF),WR,0,,,0,,0,0.0,0.0
Jaelon Darden (TB),WR,0,,,0,,0,0.0,0.0
D'Wayne Eskridge (SEA),WR,0,,,0,,0,0.0,0.0
Chris Blair (GB),WR,0,,,0,,0,0.0,0.0
Jacob Harris (LAR),WR,0,,,0,,0,0.0,0.0
Brandon Smith (DAL),WR,0,,,0,,0,0.0,0.0
Rico Bussey (PIT),WR,0,,,0,,0,0.0,0.0
Javon McKinley (DET),WR,0,,,0,,0,0.0,0.0
Osirus Mitchell (DAL),WR,0,,,0,,0,0.0,0.0
Kawaan Baker (NO),WR,0,,,0,,0,0.0,0.0
Tre Nixon (NE),WR,0,,,0,,0,0.0,0.0
Jalen Camp (HOU),WR,0,,,0,,0,0.0,0.0
Racey McMath (TEN),WR,0,,,0,,0,0.0,0.0
Austin Trammell (ATL),WR,0,,,0,,0,0.0,0.0
Terrace Marshall Jr. (CAR),WR,0,,,0,,0,0.0,0.0
Myron Mitchell (MIN),WR,0,,,0,,0,0.0,0.0
Micah Simon (CAR),WR,0,,,0,,0,0.0,0.0
Simi Fehoko (DAL),WR,0,,,0,,0,0.0,0.0
C.J. Saunders (CAR),WR,0,,,0,,0,0.0,0.0
Michael Bandy (LAC),WR,0,,,0,,0,0.0,0.0
Landen Akers (LAR),WR,0,,,0,,0,0.0,0.0
Donte Sylencieux (BAL),WR,0,,,0,,0,0.0,0.0
Tim Jones (JAC),WR,0,,,0,,0,0.0,0.0
Dillon Stoner (LV),WR,0,,,0,,0,0.0,0.0
DJ Turner (LV),WR,0,,,0,,0,0.0,0.0
Connor Wedington (SF),WR,0,,,0,,0,0.0,0.0
Mike Strachan (IND),WR,0,,,0,,0,0.0,0.0
J.J. Koski (LAR),WR,0,,,0,,0,0.0,0.0
Elijah Moore (NYJ),WR,0,,,0,,0,0.0,0.0
Shi Smith (CAR),WR,0,,,0,,0,0.0,0.0
Tutu Atwell (LAR),WR,0,,,0,,0,0.0,0.0
Anthony Schwartz (CLE),WR,0,,,0,,0,0.0,0.0
Dazz Newsome (CHI),WR,0,,,0,,0,0.0,0.0
Kadarius Toney (NYG),WR,0,,,0,,0,0.0,0.0
Seth Williams (DEN),WR,0,,,0,,0,0.0,0.0
T.J. Vasher (DAL),WR,0,,,0,,0,0.0,0.0
Ihmir Smith-Marsette (MIN),WR,0,,,0,,0,0.0,0.0
Dyami Brown (WAS),WR,0,,,0,,0,0.0,0.0
Dez Fitzpatrick (TEN),WR,0,,,0,,0,0.0,0.0
Demetric Felton (CLE),WR,0,,,0,,0,0.0,0.0
Pooka Williams Jr. (CIN),WR,0,,,0,,0,0.0,0.0
Andre Baccellia (ARI),WR,0,,,0,,0,0.0,0.0
Maurice Ffrench (LAC),WR,0,,,0,,0,0.0,0.0
Jeff Cotton (JAC),WR,0,,,0,,0,0.0,0.0
Nico Collins (HOU),WR,0,,,0,,0,0.0,0.0
Marquez Stevenson (BUF),WR,0,,,0,,0,0.0,0.0
Amari Rodgers (GB),WR,0,,,0,,0,0.0,0.0
Gehrig Dieter (KC),WR,0,,,0,,0,0.0,0.0
Isaiah McKenzie (BUF),WR,0,,,0,,0,0.0,0.0
Marvin Jones Jr. (JAC),WR,0,,,0,,0,0.0,0.0
Travis Benjamin (SF),WR,0,,,0,,0,0.0,0.0
Patrick Edwards (DET),WR,0,,,0,,0,0.0,0.0
T.Y. Hilton (IND),WR,0,,,0,,0,0.0,0.0
Cole Beasley (BUF),WR,0,,,0,,0,0.0,0.0
Josh Gordon (KC),WR,0,,,0,,0,0.0,0.0
Kevin Cone (FA),WR,0,0.0,,0,0.0,1,0.0,0.0
Michael Calvin (TEN),WR,0,,,0,,0,0.0,0.0
Terrelle Pryor Sr. (FA),WR,0,0.0,,0,0.0,1,0.0,0.0
Dane Sanzenbacher (FA),WR,54,3.38,50.0,1,0.06,16,0.0,0.0
Ricardo Lockette (FA),WR,4,2.0,50.0,0,0.0,2,0.0,0.0
DeMarco Sampson (FA),WR,8,0.67,37.5,0,0.0,12,0.0,0.0
Stephen Burton (FA),WR,3,1.0,66.67,0,0.0,3,0.0,0.0
Scotty McKnight (NYJ),WR,0,,,0,,0,0.0,0.0
Dwayne Harris (FA),WR,0,0.0,,0,0.0,7,0.0,0.0
Ryan Whalen (FA),WR,5,1.25,80.0,0,0.0,4,0.0,0.0
Jeremy Kerley (FA),WR,47,3.36,61.7,5,0.36,14,0.0,0.0
Denarius Moore (FA),WR,76,5.85,43.42,5,0.38,13,0.0,0.0
Kealoha Pilares (FA),WR,0,0.0,,0,0.0,12,0.0,0.0
Cecil Shorts (FA),WR,12,1.2,16.67,0,0.0,10,0.0,0.0
Greg Salas (FA),WR,38,6.33,71.05,1,0.17,6,0.0,0.0
Edmond Gates (FA),WR,12,0.8,16.67,1,0.07,15,0.0,0.0
Kris Durham (FA),WR,4,1.33,75.0,0,0.0,3,0.0,0.0
Vincent Brown (FA),WR,40,2.86,47.5,0,0.0,14,0.0,0.0
Greg Little (FA),WR,121,7.56,50.41,3,0.19,16,0.0,0.0
Austin Pettis (FA),WR,48,4.0,56.25,1,0.08,12,0.0,0.0
Tandon Doss (FA),WR,2,0.33,0.0,0,0.0,6,0.0,0.0
Demario Ballard (DET),WR,0,,,0,,0,0.0,0.0
Mohamed Sanu Sr. (SF),WR,0,,,0,,0,0.0,0.0
Joe Hastings (FA),WR,1,1.0,0.0,0,0.0,1,0.0,0.0
Trindon Holliday (FA),WR,0,0.0,,0,0.0,1,0.0,0.0
Kamar Aiken (FA),WR,0,0.0,,0,0.0,2,0.0,0.0
Eron Riley (NYJ),WR,0,,,0,,0,0.0,0.0
Terrence Austin (FA),WR,26,2.0,46.15,0,0.0,13,0.0,0.0
Andrew Hawkins (FA),WR,34,2.62,67.65,5,0.38,13,0.0,0.0
Jamar Newsome (FA),WR,1,0.5,0.0,0,0.0,2,0.0,0.0
LaQuan Williams (FA),WR,12,1.0,33.33,0,0.0,12,0.0,0.0
Doug Baldwin (FA),WR,87,5.44,58.62,1,0.06,16,0.0,0.0
Bryan Walters (FA),WR,4,1.0,75.0,0,0.0,4,0.0,0.0
Dezmon Briscoe (FA),WR,51,3.19,68.63,0,0.0,16,0.0,0.0
Jeff Maehl (FA),WR,1,0.33,0.0,0,0.0,3,0.0,0.0
