PLAYER,POS,FPTS,C,F,STD,VOR,VALUERANK,AVG,ADPRANK,SLEEPERSCORE,ECR,CI,IJ%,PGM,IPG%,D
Christian McCaffrey,RB,361.4871109999999,388.0,334.82,18.79993087975802,268.13723099999993,1.0,,,,5.8,6,78%,1.90,8.5%,3
Dalvin Cook,RB,312.4666539999999,334.2,290.62,15.398505052903149,219.1167739999999,2.0,2.0,2.0,0.0,4.9,12,95%,3.00,16.2%,2
Derrick Henry,RB,305.21635850000007,309.41,301.1,2.941591842349607,211.86647850000008,3.0,4.0,4.0,1.0,3.5,4,90%,2.10,12.7%,5
Travis Kelce,TE,276.3922850000001,314.0,239.3,26.353657919324498,199.23799900000006,4.0,8.4,7.0,3.0,18.1,8,75%,2.00,7.8%,5
Austin Ekeler,RB,276.220613,293.3,259.24,12.033494766452138,182.87073300000003,5.0,10.4,10.0,5.0,4.7,10,94%,2.90,15.3%,5
Lamar Jackson,QB,372.3237499999999,375.45,369.2,2.202625918648012,163.70120999999986,6.0,44.8,43.0,37.0,66.8,5,8%,0.40,0.5%,5
Darren Waller,TE,235.60645100000002,271.1,200.12,25.26778312584227,158.452165,7.0,22.4,22.0,15.0,44.3,9,51%,1.70,4.1%,5
Calvin Ridley,WR,267.619213,300.7,234.71,23.30748770386098,151.17555299999998,8.0,18.4,19.0,11.0,36.5,3,53%,2.80,4.3%,5
DeAndre Hopkins,WR,264.170826,309.2,218.68,31.774776150237845,147.72716599999995,9.0,17.2,16.0,7.0,37.3,14,59%,2.10,5.1%,5
D'Andre Swift,RB,233.4280875,250.5,216.25,12.105453916720503,140.07820750000002,10.0,36.8,37.0,27.0,16.9,5,85%,2.60,10.6%,4
Chris Carson,RB,229.9275665,240.2,219.69,7.2824733559813115,136.57768650000003,11.0,,,,122.2,2,78%,1.60,8.5%,5
Robert Woods,WR,230.30683099999996,250.7,209.51,14.584749678600554,113.86317099999995,12.0,,,,81.0,8,88%,2.80,11.7%,5
Alvin Kamara,RB,204.3390603333333,311.7566666666667,94.95666666666665,81.69889416803855,110.9891803333333,13.0,3.0,3.0,-10.0,12.4,5,90%,2.30,12.7%,3
Allen Robinson,WR,226.33684800000003,257.6,195.36,21.951820356063777,109.89318800000002,14.0,,,,73.8,9,95%,2.90,16.2%,4
Julio Jones,WR,215.64844800000006,240.0,191.76,17.043606397452862,99.20478800000005,15.0,46.2,45.0,30.0,176.6,32,93%,1.90,14.5%,5
Davante Adams,WR,212.81489666666667,317.78000000000003,107.64666666666665,75.59114022561985,96.37123666666666,16.0,6.6,6.0,-10.0,9.8,10,94%,3.00,15.3%,5
