NAME,POS,DATE,STATUS,COMMENT
Darrell Daniels,TE,Oct 26,Questionable,"Daniels (hamstring) was a limited participant during Tuesday's practice, Josh Weinfuss of ESPN.com reports."
DeAndre Hopkins,WR,Oct 26,Questionable,"Hopkins (hamstring) was listed as a non-participant at Tuesday's practice, Josh Weinfuss of ESPN.com reports."
Rashard Lawrence,DT,Oct 26,Questionable,
Isaiah Simmons,LB,Oct 26,Questionable,Simmons (shoulder) was limited on Monday's practice estimate.
J.J. Watt,DE,Oct 25,Questionable,"Watt (shoulder) was listed as a non-participant on Monday's practice estimate, Darren Urban of the Cardinals' official site reports."
Tanner Vallejo,LB,Oct 25,Questionable,
Devon Kennard,LB,Oct 25,Questionable,
Max Garcia,G,Oct 25,Questionable,
Jordan Hicks,LB,Oct 25,Questionable,
Kylie Fitts,LB,Oct 23,Injured Reserve,"Fitts (concussion) was placed on injured reserve Friday, Bob McManaman of The Arizona Republic reports."
Corey Peters,DT,Oct 17,Out,Peters tested positive for COVID-19 and was placed on the reserve/COVID-19 list Sunday.
Rodney Hudson,C,Oct 16,Injured Reserve,Hudson (ribs) was placed on injured reserve Saturday.
Ezekiel Turner,LB,Oct 13,Injured Reserve,"The Cardinals placed Turner (shoulder) on injured reserve Wednesday, Darren Urban of the Cardinals' official website reports."
Maxx Williams,TE,Oct 13,Injured Reserve,Williams (knee) was placed on injured reserve Wednesday.
Justin Murray,OT,Oct 9,Injured Reserve,"Murray (back) was placed on injured reserve Friday, Darren Urban of the Cardinals' official site reports."
Charles Washington,S,Sep 29,Injured Reserve,"The Cardinals placed Washington (hamstring) on injured reserve Wednesday, Darren Urban of the Cardinals' official website reports."
Jack Crawford,DE,Aug 25,Injured Reserve,"The Cardinals placed Crawford (undisclosed) on injured reserve Tuesday, Bob McManaman of The Arizona Republic reports."
Avery Williams,CB,Oct 26,Questionable,
A.J. Terrell,CB,Oct 24,Questionable,"Terrell (neck) has been ruled out of Sunday's game against the Panthers, according to Michael Rothstein of ESPN.com."
Erik Harris,S,Oct 24,Questionable,"Harris (shoulder) is questionable to return Sunday against the Dolphins, according to D. Orlando Ledbetter of The Atlanta Journal-Constitution."
Dante Fowler Jr.,LB,Oct 22,Injured Reserve,Fowler (knee) was placed on injured reserve Friday.
Cameron Nizialek,P,Oct 5,Injured Reserve,"Nizialek (hamstring) was placed on injured reserve Tuesday, Aaron Wilson of Sportstalk 790 Houston reports."
Isaiah Oliver,CB,Oct 5,Injured Reserve,"Oliver (knee) will undergo surgery and miss the rest of the 2021 season, Michael Rothstein of ESPN.com reports."
Matt Gono,OT,Sep 2,Out,"The Falcons placed Gono (undisclosed) on the reserve/PUP list Tuesday, Michael Rothstein of ESPN.coml reports."
AJ McCarron,QB,Aug 23,Injured Reserve,"Coach Arthur Smith said Monday that McCarron (knee) will be placed on injured reserve, Michael Rothstein of ESPN.com reports."
Ryan Becker,TE,Aug 20,Injured Reserve,The Falcons placed Becker (undisclosed) on injured reserve Friday.
Deadrin Senat,DT,Aug 11,Injured Reserve,"Senat (undisclosed) cleared waivers and reverted to injured reserve Monday, per the NFL's official transaction log."
Jaeden Graham,TE,Aug 5,Injured Reserve,"Graham suffered a season-ending knee injury and has been placed on injured reserve, Baxley McClain of The Atlanta Journal-Constitution reports"
Derek Wolfe,DE,Oct 26,Injured Reserve,"The Ravens designated Wolfe (back) to return from injured reserve Tuesday, Jonas Shaffer of The Baltimore Sun reports."
Sammy Watkins,WR,Oct 26,Questionable,
Latavius Murray,RB,Oct 26,Questionable,
Patrick Mekari,G,Oct 25,Questionable,"Mekari was diagnosed with a high-ankle sprain after leaving Sunday's loss to the Bengals, Ian Rapoport of NFL Network reports."
Nick Boyle,TE,Oct 20,Injured Reserve,"The Ravens designated Boyle (knee) to return from injured reserve Wednesday, Clifton Brown of the Ravens' official website reports."
Ronnie Stanley,OT,Oct 19,Injured Reserve,"Stanley has been moved to injured reserve and will undergo another ankle surgery that will end his season short for the second straight year, Ryan Mink of the Ravens' official website reports."
Ben Cleveland,G,Oct 12,Injured Reserve,"Cleveland (knee) was placed on injured reserve Tuesday, Jonas Shaffer of The Baltimore Sun reports."
Daelin Hayes,LB,Sep 27,Injured Reserve,Hayes (ankle) was placed on injured reserve Monday.
