PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
J.Jacobs,LV,80.65,77.14,72.73,65.22,65.71,,41.67,68.89,53.85,51.22,65.38,50.0,,59.09,63.41,54.17,65.22,,,,,62.29
C.McCaffrey,CAR,76.67,75.0,,,,,,,75.0,,,,,,,,,,,,,75.55666666666667
M.Brown,LA,45.0,28.21,21.88,39.13,22.86,10.53,29.41,34.48,,20.69,15.0,10.71,9.68,,5.26,24.14,10.0,20.93,,,,21.744374999999994
C.Edwards-Helaire,KC,73.53,45.45,64.52,64.0,50.0,56.52,36.36,30.0,45.45,,51.85,55.0,,66.67,34.15,,,,,24.0,52.94,50.02933333333332
C.Newton,NE,35.71,46.15,23.68,,,42.31,22.73,26.47,24.39,28.21,12.5,30.0,32.56,24.14,40.91,16.67,37.93,,,,,29.624000000000002
D.Cook,MIN,58.33,78.95,66.67,67.5,40.48,,,88.24,64.71,90.91,93.1,75.0,84.21,66.67,85.71,88.24,,,,,,74.90857142857143
E.Elliott,DAL,81.48,71.88,66.67,60.0,65.52,44.44,46.15,54.29,58.06,,65.62,55.56,64.29,48.0,,55.88,51.85,,,,,59.31266666666667
K.Murray,ARI,36.11,25.0,18.52,26.09,30.0,28.57,42.42,,29.73,33.33,27.78,14.71,23.81,30.23,26.67,29.63,11.11,,,,,27.106875
P.Barber,WAS,47.22,4.17,13.64,13.64,,16.67,25.64,,,7.69,23.53,30.56,66.67,42.86,23.81,5.26,14.81,,,,,24.01214285714286
J.Dobbins,BAL,23.33,5.41,4.76,15.62,4.17,24.32,,31.91,31.58,17.86,45.45,,29.73,42.42,37.84,27.5,24.07,25.71,31.25,,,24.878235294117644
M.Gordon,DEN,57.69,73.08,57.14,71.88,,,51.52,50.0,27.27,57.89,45.45,36.36,45.45,43.33,39.29,57.14,81.25,,,,,52.98266666666666
Da.Johnson,HOU,50.0,64.71,86.67,61.54,77.27,70.37,63.64,,7.14,,,,52.63,,,,,,,,,59.330000000000005
A.Jones,GB,50.0,50.0,61.54,57.69,,47.62,,,48.39,52.0,55.56,43.59,60.0,48.39,74.07,28.95,57.89,,38.89,37.5,,50.754999999999995
J.Kelley,LAC,30.77,52.27,34.78,39.13,34.38,,36.36,18.42,28.12,24.14,15.38,29.17,,,6.9,,,,,,,29.151666666666667
K.Drake,ARI,44.44,62.5,66.67,56.52,60.0,57.14,42.42,,,44.44,61.11,64.71,47.62,53.49,33.33,66.67,55.56,,,,,54.44133333333334
J.Allen,BUF,43.75,17.39,19.05,12.5,18.18,34.78,40.74,26.32,36.84,38.89,,30.0,22.22,22.22,12.5,12.9,8.0,52.38,43.75,38.89,,27.963157894736838
D.Henry,TEN,91.18,73.53,76.47,,55.88,81.48,86.96,62.07,67.74,59.38,80.0,60.0,80.0,65.0,64.1,85.19,82.93,81.82,,,,73.74882352941177
T.Gurley,ATL,66.67,61.76,56.0,64.0,58.33,54.05,88.46,50.0,59.38,,57.14,,38.1,30.0,7.69,17.39,34.62,,,,,49.57266666666667
B.Snell,PIT,63.33,13.64,18.42,,21.88,16.22,8.0,,16.67,15.0,25.93,80.0,57.14,17.65,78.26,42.86,15.0,12.5,,,,31.40625
J.Burrow,CIN,28.57,29.17,5.56,11.76,10.71,9.38,28.57,9.38,,,11.11,,,,,,,,,,,16.02333333333333
S.Michel,NE,23.81,26.92,23.68,,,,,,,,,,23.26,24.14,45.45,41.67,55.17,,,,,33.0125
A.Peterson,DET,48.28,33.33,81.48,50.0,,38.46,52.38,38.46,29.63,19.05,41.18,51.72,72.73,26.67,22.22,26.67,31.82,,,,,41.505
N.Hines,IND,31.82,,22.58,23.68,16.67,,,12.5,9.52,41.38,18.42,45.45,20.69,22.58,21.74,28.57,5.41,19.35,,,,22.69066666666667
D.Watson,HOU,27.27,29.41,6.67,19.23,9.09,14.81,31.82,,35.71,36.36,31.58,34.78,36.84,25.93,28.57,29.41,17.65,,,,,25.945625000000003
A.Ekeler,LAC,48.72,36.36,52.17,8.7,,,,,,,,58.33,53.33,57.69,44.83,50.0,20.0,,,,,43.01299999999999
C.Hyde,SEA,35.0,16.67,15.38,,,,50.0,,,,45.16,50.0,9.09,41.67,7.69,8.33,,16.0,,,,26.817272727272723
A.Kamara,NO,35.29,68.42,30.0,45.24,44.0,,48.28,40.0,24.32,26.67,36.11,25.0,41.67,55.0,64.71,48.89,,65.71,72.0,,,45.37117647058824
K.Hunt,CLE,48.15,28.57,43.24,26.83,60.61,59.09,81.82,63.64,,46.34,32.5,30.3,38.89,21.43,23.33,22.22,32.26,25.81,27.27,,,39.572222222222216
T.Brady,TB,11.54,4.55,20.0,11.11,15.0,,4.0,4.17,,5.41,,7.69,,11.54,11.11,,22.73,10.0,14.29,4.17,12.12,10.589374999999999
J.Mixon,CIN,67.86,66.67,94.44,73.53,85.71,56.25,,,,,,,,,,,,,,,,74.07666666666667
D.Swift,DET,10.34,23.81,,18.18,,35.9,42.86,46.15,48.15,76.19,,,,46.67,55.56,66.67,54.55,,,,,43.7525
J.Adams,NYJ,13.33,3.45,,,,,,,,,,4.35,23.53,26.09,,,44.0,,,,,19.125
J.Howard,MIA,28.57,22.73,8.33,9.09,,,,,40.0,,,,,,,,,,,,,21.744
R.Jones,TB,65.38,31.82,52.0,74.07,85.0,65.71,52.0,29.17,60.0,62.16,55.56,69.23,,69.23,,,54.55,,37.14,41.67,36.36,55.355882352941165
D.Montgomery,CHI,46.43,50.0,56.0,64.71,71.43,76.0,82.35,91.3,70.0,,,68.75,54.84,47.83,76.19,69.7,70.97,63.16,,,,66.22875
J.Robinson,JAX,69.57,59.26,64.71,85.0,65.0,75.0,82.14,,92.59,100.0,100.0,88.0,72.0,80.0,72.73,,,,,,,79.0
N.Chubb,CLE,37.04,62.86,51.35,14.63,,,,,,46.34,50.0,57.58,50.0,60.71,50.0,61.11,45.16,58.06,59.09,,,50.28071428571428
R.Mostert,SF,60.0,27.59,,,57.89,45.95,,,,,,48.48,42.86,51.85,38.89,,,,,,,46.68875
A.Mattison,MIN,25.0,15.79,24.24,17.5,47.62,76.92,,8.82,35.29,6.06,3.45,8.33,,,3.57,,67.74,,,,,26.179230769230763
L.Murray,NO,44.12,15.79,60.0,33.33,32.0,,37.93,26.67,27.03,30.0,33.33,43.18,13.89,20.0,23.53,26.67,,11.43,,,,29.93125
L.Jackson,BAL,23.33,43.24,42.86,21.88,8.33,24.32,,34.04,34.21,39.29,39.39,,35.14,27.27,27.03,32.5,20.37,45.71,28.12,,,31.001764705882344
T.Cohen,CHI,25.0,15.62,8.0,,,,,,,,,,,,,,,,,,,16.206666666666667
M.Gaskin,MIA,32.14,31.82,61.11,45.45,48.48,72.0,,72.0,,,,,75.0,,,56.0,35.0,,,,,52.9
C.Akers,LA,35.0,7.69,,,25.71,,,31.03,,34.48,25.0,32.14,67.74,80.56,78.95,,70.0,65.12,94.74,,,49.85846153846155
