PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
N.Chubb,CLE,55.56,32.35,52.38,55.26,60.0,,,69.57,60.87,,61.11,47.06,,58.62,95.83,68.0,60.0,21.95,,,,,57.040000000000006
J.Mixon,CIN,80.56,100.0,75.0,72.73,41.67,50.0,50.0,87.5,58.33,,78.95,73.68,76.92,69.23,65.38,85.71,63.16,,68.0,77.78,77.78,75.0,71.369
D.Montgomery,CHI,61.54,58.82,76.92,58.97,,,,,50.0,,70.0,58.62,77.78,43.48,64.29,70.0,81.48,80.0,,,,,65.53076923076922
E.Mitchell,SF,67.86,44.74,,,32.14,,75.0,69.23,72.73,61.36,,69.23,88.0,,,,56.76,67.74,71.05,58.62,55.0,,63.53285714285715
M.Gordon,DEN,39.29,43.33,48.65,52.94,50.0,43.48,57.14,47.62,51.22,50.0,,51.52,,61.54,44.12,43.75,37.04,42.86,,,,,47.78124999999999
J.Jacobs,LV,47.62,,,72.22,68.18,69.57,20.69,,65.0,50.0,50.0,62.86,81.25,75.0,60.0,67.5,59.26,76.47,92.86,,,,63.65500000000001
M.Ingram,HOU,63.41,50.0,35.29,33.33,66.67,62.07,40.0,,,,,,,,,,,,,,,,50.11
D.Henderson,LA,69.57,44.83,,60.87,58.62,61.76,78.95,45.16,52.38,50.0,,80.0,,,20.69,3.03,,,,,,17.39,49.48076923076923
T.Williams,BAL,26.47,31.71,22.73,,15.38,,8.33,,,,,2.33,,,,,,2.78,,,,,15.675714285714283
D.Cook,MIN,90.91,81.48,,39.13,,81.08,,75.0,70.83,72.73,76.67,55.56,,75.0,84.85,,81.82,63.64,,,,,72.97692307692307
A.Ekeler,LAC,51.72,50.0,50.0,44.12,75.0,50.0,,55.0,62.96,57.89,42.31,70.59,63.64,32.43,30.77,,48.57,76.19,,,,,53.824375
J.Williams,DET,37.5,36.84,44.44,56.0,54.17,22.22,42.86,,,,30.43,78.95,62.96,,,57.58,50.0,50.0,,,,,47.99615384615384
D.Harris,NE,76.67,66.67,35.29,50.0,46.67,66.67,43.75,58.97,38.46,,33.33,45.83,21.28,,,66.67,24.32,40.74,45.0,,,,47.52
C.McCaffrey,CAR,77.78,72.73,21.21,,,,,,60.87,35.14,47.62,55.56,,,,,,,,,,,52.987142857142864
K.Gainwell,PHI,28.12,23.33,8.33,15.79,9.09,,15.62,28.26,5.13,5.13,,,29.27,,,,2.94,36.36,5.88,,,,16.403846153846153
K.Hunt,CLE,25.93,38.24,23.81,36.84,34.29,73.68,,,,,,41.18,,6.9,,,,,,,,,35.10875
C.Carson,SEA,59.26,72.22,66.67,46.43,,,,,,,,,,,,,,,,,,,61.144999999999996
A.Gibson,WAS,74.07,59.09,48.0,48.28,60.61,52.63,48.28,33.33,,68.57,47.5,68.18,76.67,41.67,71.43,30.0,,56.76,,,,,55.316874999999996
L.Murray,BAL,29.41,21.95,31.82,60.0,23.08,23.68,,,,,29.41,18.6,8.0,4.35,26.92,31.25,34.38,44.44,,,,,27.663571428571426
D.Jones,NYG,30.0,32.14,32.14,23.81,12.0,16.67,25.81,25.0,12.9,,23.08,33.33,,,,,,,,,,,24.26181818181818
L.Jackson,BAL,35.29,39.02,31.82,23.33,57.69,21.05,50.0,,46.67,39.13,,39.53,32.0,8.7,,,,,,,,,35.3525
P.Lindsay,HOU,19.51,17.86,41.18,22.22,20.83,24.14,13.33,20.0,44.44,,2.63,,,,,,,,,,,,22.614
A.Kamara,NO,51.28,47.06,63.16,66.67,69.57,,64.52,59.38,53.85,,,,,61.36,35.48,56.52,46.43,65.22,,,,,56.96153846153846
K.Murray,ARI,15.15,23.81,23.33,15.0,25.93,18.92,16.22,30.0,,,,,28.57,31.82,19.05,19.05,28.12,17.86,11.11,,,,21.596000000000004
P.Mahomes,KC,21.74,5.56,13.33,15.62,34.78,10.71,46.15,11.11,8.0,,26.92,,16.67,13.33,15.0,,8.7,33.33,13.64,25.93,12.5,,18.501111111111115
