PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
J.Jacobs,LV,69.92,75.86,56.35,55.81,53.47,,22.37,61.72,40.62,55.17,61.8,67.5,,62.03,43.93,66.35,83.96,,,,,58.45733333333333
C.McCaffrey,CAR,75.19,67.82,,,,,,,66.35,,,,,,,,,,,,,69.78666666666666
M.Brown,LA,51.63,24.61,11.38,65.52,23.26,3.54,35.62,30.53,,31.13,54.05,3.17,-2.52,,3.51,22.88,18.18,18.29,,,,24.673750000000002
C.Edwards-Helaire,KC,83.13,30.4,48.48,68.09,50.0,65.71,45.54,42.0,38.89,,63.89,42.53,,34.04,47.31,,,,,6.14,59.81,48.397333333333336
C.Newton,NE,34.56,70.15,10.8,,,64.96,20.21,28.72,10.06,12.14,6.98,41.82,29.09,14.95,32.48,16.55,47.59,,,,,29.404000000000003
D.Cook,MIN,37.31,78.75,80.09,80.25,32.34,,,94.22,74.91,96.97,92.0,63.54,82.76,62.96,83.54,81.11,,,,,,74.33928571428571
E.Elliott,DAL,70.59,71.2,55.74,63.53,72.22,50.52,54.22,47.37,35.42,,57.22,53.33,69.37,47.52,,69.54,38.89,,,,,57.112
K.Murray,ARI,50.56,41.88,26.61,60.47,24.41,28.35,42.14,,59.55,28.11,26.32,22.46,16.3,29.56,28.16,62.5,6.25,,,,,34.601875
P.Barber,WAS,36.25,0.85,5.83,7.25,,6.98,16.35,,,7.87,17.07,31.32,51.11,37.76,5.95,9.26,9.71,,,,,17.397142857142857
J.Dobbins,BAL,19.82,20.87,3.8,11.11,21.12,15.38,,42.64,27.27,11.3,54.26,,24.15,22.94,40.51,30.92,39.6,18.22,28.0,,,25.406470588235297
M.Gordon,DEN,72.9,67.31,61.9,91.45,,,38.42,24.07,17.48,69.7,44.44,31.0,73.18,70.83,43.57,59.4,76.23,,,,,56.12533333333335
Da.Johnson,HOU,65.25,66.67,79.31,65.62,74.42,61.96,53.16,,14.95,,,,48.89,,,,,,,,,58.91444444444445
A.Jones,GB,41.77,64.86,70.41,80.68,,15.96,,,52.25,57.5,62.12,49.45,87.25,57.5,74.36,40.17,53.16,,52.66,40.3,,56.27499999999999
J.Kelley,LAC,38.71,34.97,36.75,15.22,26.13,,21.48,15.24,21.88,21.21,-6.9,46.05,,,8.33,,,,,,,23.25583333333333
K.Drake,ARI,33.33,53.75,66.97,27.13,47.24,62.84,21.38,,,46.08,50.88,56.52,53.26,50.31,25.24,37.5,75.0,,,,,47.162000000000006
J.Allen,BUF,58.16,16.96,7.92,-1.59,18.95,50.0,48.41,12.11,41.18,52.05,,18.6,13.58,26.92,18.13,26.92,3.85,56.25,9.38,68.22,,28.736842105263165
D.Henry,TEN,89.23,68.29,88.81,,41.01,80.61,91.46,51.38,73.91,65.61,76.88,77.73,96.77,86.35,75.38,62.82,86.81,78.43,,,,75.96941176470588
T.Gurley,ATL,77.78,53.98,55.56,73.08,72.89,47.47,95.45,35.11,57.61,,50.0,,22.86,27.14,-2.7,17.78,14.17,,,,,46.545333333333325
B.Snell,PIT,80.14,4.59,6.51,,13.97,13.18,2.13,,2.17,27.27,14.15,88.24,23.81,29.79,97.67,0.0,11.76,25.0,,,,27.523750000000003
J.Burrow,CIN,37.7,27.94,-2.08,5.37,14.29,2.04,41.98,7.63,,,17.14,,,,,,,,,,,16.89
S.Michel,NE,17.05,28.36,46.8,,,,,,,,,,21.21,20.56,63.25,47.59,45.78,,,,,36.325
A.Peterson,DET,67.39,46.07,83.33,40.0,,22.22,45.31,24.14,22.48,20.0,45.0,50.46,95.0,13.73,18.7,13.7,48.84,,,,,41.02312500000001
N.Hines,IND,31.82,,17.65,23.3,11.76,,,6.72,16.07,52.63,1.43,51.79,9.17,27.36,33.86,34.65,6.23,46.01,,,,24.696666666666665
