PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
N.Chubb,CLE,54.25,60.9,39.07,54.35,70.0,,,63.54,89.54,,70.65,40.0,,59.0,102.25,57.53,62.37,28.29,,,,,60.83857142857143
J.Mixon,CIN,85.23,100.0,93.75,85.9,32.04,66.2,53.15,80.49,75.29,,77.36,83.33,56.25,67.44,51.33,84.42,76.67,,57.83,83.08,75.86,91.14,73.838
D.Montgomery,CHI,80.6,49.59,73.91,56.38,,,,,46.32,,63.04,67.65,79.82,30.66,52.17,51.14,73.56,80.0,,,,,61.910769230769226
E.Mitchell,SF,79.39,35.9,,,28.29,,96.4,94.48,92.31,58.33,,63.94,92.96,,,,68.0,62.96,56.8,50.0,40.0,,65.69714285714285
M.Gordon,DEN,61.21,32.29,50.0,52.83,32.08,44.64,43.9,56.63,42.11,46.88,,56.46,,60.33,39.85,-22.22,51.81,57.59,,,,,44.149375
J.Jacobs,LV,41.46,,,83.33,67.61,61.63,24.37,,64.96,32.0,51.39,60.84,68.42,54.55,53.06,80.62,74.12,75.86,80.58,,,,60.925
M.Ingram,HOU,53.12,50.0,50.0,50.0,61.19,58.87,21.43,,,,,,,,,,,,,,,,49.230000000000004
D.Henderson,LA,94.59,52.48,,73.55,69.49,59.54,95.74,54.55,58.51,59.62,,80.88,,,18.7,10.69,,,,,,16.28,57.27846153846155
T.Williams,BAL,34.39,30.68,18.97,,6.98,,8.7,,,,,0.68,,,,,,1.61,,,,,14.572857142857144
D.Cook,MIN,91.04,74.01,,52.31,,70.71,,77.23,83.97,91.26,95.56,58.21,,84.71,67.42,,48.15,75.96,,,,,74.65692307692308
A.Ekeler,LAC,63.33,56.84,71.43,69.64,58.93,26.92,,39.26,66.29,53.66,31.45,43.06,74.68,44.08,30.73,,55.77,75.29,,,,,53.835000000000015
J.Williams,DET,46.55,23.15,45.16,73.33,52.78,30.56,41.61,,,,6.55,85.53,71.0,,,59.23,23.16,43.43,,,,,46.310769230769225
D.Harris,NE,80.0,61.39,28.57,400.0,46.03,84.17,71.62,56.34,19.87,,41.79,38.1,50.0,,,69.13,19.34,27.61,33.71,,,,70.47937499999999
C.McCaffrey,CAR,88.29,80.9,26.5,,,,,,66.67,57.23,53.15,54.69,,,,,,,,,,,61.06142857142857
K.Gainwell,PHI,21.39,9.27,3.12,30.1,17.58,,14.81,11.44,1.7,2.31,,,29.19,,,,3.39,52.35,6.32,,,,15.613076923076923
K.Hunt,CLE,21.57,32.69,37.67,37.5,26.52,90.41,,,,,,50.0,,5.0,,,,,,,,,37.67
C.Carson,SEA,65.0,40.26,75.47,28.57,,,,,,,,,,,,,,,,,,,52.324999999999996
A.Gibson,WAS,71.43,79.31,39.74,51.64,45.8,46.81,26.15,30.36,,68.09,50.0,73.03,78.57,36.0,41.27,34.12,,64.6,,,,,52.307500000000005
L.Murray,BAL,14.81,14.34,24.14,57.84,19.77,23.53,,,,,26.02,9.46,0.93,0.85,33.57,30.77,18.79,60.24,,,,,23.93285714285715
D.Jones,NYG,45.0,58.28,39.0,32.53,12.33,6.67,27.18,16.67,11.41,,15.15,42.86,,,,,,,,,,,27.91636363636364
L.Jackson,BAL,45.5,42.63,50.0,27.45,72.09,27.27,76.52,,48.58,41.49,,45.95,51.4,4.24,,,,,,,,,44.42666666666667
P.Lindsay,HOU,15.62,2.44,11.9,-2.08,28.36,31.45,19.05,18.18,38.36,,-3.61,,,,,,,,,,,,15.966999999999995
A.Kamara,NO,48.54,10.42,62.68,70.59,72.45,,54.26,40.13,45.87,,,,,59.11,29.51,62.65,43.84,74.87,,,,,51.916923076923084
K.Murray,ARI,14.71,30.1,20.88,18.06,1.06,4.17,5.81,28.38,,,,,43.07,59.22,2.86,55.64,34.65,29.66,9.84,,,,23.874000000000002
P.Mahomes,KC,24.66,4.84,24.19,13.0,50.83,28.44,45.45,9.35,-2.6,,8.73,,13.48,15.15,37.21,,16.13,40.0,27.36,37.91,13.67,,22.655555555555555
R.Tannehill,TEN,19.77,12.74,31.11,5.08,11.41,2.05,5.83,27.96,4.35,1.52,2.91,8.89,,28.43,8.96,24.44,3.54,-1.61,,8.57,,,11.441666666666665
M.Sanders,PHI,42.77,36.42,42.19,12.62,49.45,56.0,22.22,,,,38.84,30.77,64.86,,55.04,34.62,,,16.84,,,,38.66461538461538
J.Landry,CLE,8.5,,,,,,,5.21,0.0,,8.7,,,,,,6.45,,,,,,5.772
D.Singletary,BUF,61.54,57.34,21.31,39.7,20.66,32.93,,27.45,22.22,30.94,18.68,38.94,36.36,30.06,72.27,34.21,47.21,53.01,46.55,23.85,,,37.64368421052632
C.Edmonds,ARI,46.32,44.66,28.57,55.56,15.96,31.94,47.09,40.54,1.84,,,,,,50.48,42.11,41.73,,45.9,,,,37.900000000000006
