PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
D.Adams,GB,91.98,20.31,,,,66.48,110.85,70.04,107.99,81.27,59.47,79.82,78.71,78.29,83.66,121.52,51.74,,50.04,65.31,,76.0925
C.Ridley,ATL,54.22,76.84,92.52,37.82,75.16,43.87,52.76,34.65,,,71.54,61.3,73.51,100.99,79.51,80.26,67.88,,,,,66.85533333333332
A.Thielen,MIN,89.42,86.9,62.31,104.55,84.21,35.24,,65.26,64.6,50.99,93.26,,67.27,29.82,21.57,52.95,30.51,,,,,62.59066666666668
D.Hopkins,ARI,102.42,47.82,77.5,66.22,51.46,71.58,70.03,,24.31,98.07,47.74,48.62,74.98,90.68,72.29,54.33,93.68,,,,,68.233125
D.Slayton,NYG,63.14,44.02,57.54,60.31,107.6,68.05,30.32,59.43,7.16,63.49,,21.81,11.85,77.37,69.19,49.03,44.98,,,,,52.205625
J.Smith-Schuster,PIT,39.46,37.38,34.35,,28.49,31.38,70.48,50.78,33.5,55.29,20.63,32.57,39.07,36.6,29.16,57.86,36.33,66.17,,,,41.14705882352942
J.Jones,ATL,60.98,30.45,,17.66,,62.41,50.98,90.97,39.37,,15.15,,59.86,,,,,,,,,47.53666666666666
J.Crowder,NYJ,86.6,,,52.9,64.7,68.78,,,17.91,,26.01,39.26,65.1,36.09,67.78,64.2,23.41,,,,,51.06166666666667
D.Goedert,PHI,39.82,46.76,3.62,,,,,8.72,,37.6,35.83,61.86,58.65,52.69,45.15,17.97,,,,,,37.15181818181818
R.Anderson,CAR,59.14,60.68,39.11,78.59,92.33,50.54,84.72,68.32,74.28,54.01,47.2,62.75,,70.81,35.32,67.8,45.48,,,,,61.9425
M.Andrews,BAL,53.3,35.58,74.17,29.59,59.11,32.06,,48.82,47.26,52.68,66.18,,,77.22,44.55,107.7,71.02,52.75,63.92,,,57.244375
C.Carson,SEA,19.91,23.75,9.64,18.65,43.82,,6.42,,,,,10.29,33.38,22.51,15.56,13.39,10.84,15.97,,,,18.779230769230768
S.Watkins,KC,70.28,14.2,40.72,51.11,11.18,,,,,,,30.22,30.83,20.27,35.72,17.88,,,,,5.59,29.818181818181813
R.Gage,ATL,46.76,47.11,15.8,16.28,31.47,30.88,36.98,15.27,41.12,,73.1,32.99,45.19,51.87,53.74,25.67,58.64,,,,,38.92937499999999
M.Valdes-Scantling,GB,45.52,56.48,43.82,65.58,,54.97,30.86,7.72,38.34,60.69,53.42,,29.85,48.02,23.84,,51.71,,58.2,49.28,,44.89375000000001
R.Mostert,SF,27.78,14.25,,,17.06,7.93,,,,,,4.34,3.84,12.03,,,,,,,,12.461428571428574
D.Metcalf,SEA,74.58,65.08,62.84,47.57,91.79,,27.78,102.78,54.81,32.72,48.78,125.12,54.43,66.18,56.79,62.6,69.84,98.2,,,,67.17
W.Fuller,HOU,81.61,,42.27,57.2,57.05,80.52,38.26,,35.7,71.76,52.05,71.31,,,,,,,,,,58.773
N.Fant,DEN,41.55,29.91,60.18,35.75,,,44.68,50.44,10.82,27.4,29.72,50.86,52.12,,81.25,43.42,30.02,,,,,42.00857142857142
J.Brown,BUF,59.39,48.72,23.96,35.48,,43.56,,18.23,61.69,47.17,,,,,,,26.58,30.58,68.01,22.41,,40.48166666666666
N.Hines,IND,26.57,6.96,27.55,14.26,23.48,22.46,,35.37,9.21,25.01,19.57,35.53,16.19,23.89,14.45,16.16,33.34,10.92,,,,21.230588235294118
