PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
A.Cooper,DAL,68.25,49.75,36.06,42.38,52.27,45.35,,76.02,30.79,32.0,,,11.65,39.84,29.52,66.77,44.52,56.64,52.55,,,,45.897499999999994
T.Hill,KC,114.98,24.59,44.44,112.1,56.56,54.28,40.89,103.75,87.92,55.44,70.87,,49.71,60.65,66.06,14.52,73.58,19.32,36.06,73.2,70.82,,61.48699999999999
D.Samuel,SF,120.42,68.24,56.03,73.92,67.59,,84.34,73.33,50.96,62.44,30.55,44.35,,7.96,42.68,68.21,56.96,40.75,20.27,36.38,45.66,,55.31789473684211
A.Thielen,MIN,48.78,42.47,57.37,62.95,29.2,65.92,,73.02,59.91,47.42,63.96,55.58,12.33,,,19.31,,,,,,,49.09384615384616
R.Gronkowski,TB,36.46,30.84,39.31,,,,,5.93,,,38.72,69.96,40.17,52.15,55.79,15.55,43.59,67.58,40.06,56.52,,,42.330714285714286
C.Davis,NYJ,51.33,31.33,73.45,60.7,59.84,,39.58,,,41.09,54.29,,16.74,,,,,,,,,,47.59444444444444
D.Waller,LV,81.12,43.63,40.32,48.99,50.75,41.9,,,61.92,43.83,76.2,34.08,,,,,,59.62,57.09,,,,53.2875
D.Hopkins,ARI,61.54,28.23,36.09,69.07,101.12,35.1,69.51,20.06,,,,,53.79,63.22,,,,,,,,,53.773
T.Lockett,SEA,72.06,89.8,25.31,50.33,80.0,64.27,40.72,140.46,,59.79,56.41,46.26,56.58,97.35,,57.28,20.54,45.79,,,,,62.684374999999996
T.Kelce,KC,41.85,47.84,71.49,37.35,53.72,48.76,59.44,29.7,48.14,41.11,58.47,,72.91,38.57,68.55,,39.13,26.46,49.03,55.69,64.04,,50.11842105263158
C.Godwin,TB,63.84,32.03,25.8,29.49,54.87,23.79,70.02,57.29,,48.55,25.45,30.86,69.66,72.32,30.99,,,,,,,,45.354285714285716
S.Shepard,NYG,59.0,63.26,17.56,,,65.49,,42.05,,,,,,24.75,38.46,,,,,,,,44.36714285714286
C.Kirk,ARI,39.46,42.18,64.68,6.6,31.63,74.37,44.77,49.06,67.29,57.71,26.44,,50.52,37.07,59.77,57.95,60.25,25.98,81.51,,,,48.73555555555556
T.Hockenson,DET,45.08,59.86,15.01,47.03,22.55,66.35,69.49,78.98,,5.13,79.25,31.4,50.59,,,,,,,,,,47.56
C.Kupp,LA,79.49,85.85,68.24,70.1,62.41,96.18,71.28,66.48,56.86,68.92,,55.96,60.18,108.32,107.12,70.38,39.82,52.46,76.18,80.35,68.02,53.51,71.33857142857143
C.Lamb,DAL,69.64,81.17,34.18,60.24,39.35,51.78,,46.93,67.74,45.21,20.62,,75.55,56.48,54.67,27.25,28.01,18.49,27.31,,,,47.33058823529411
A.Brown,TB,49.93,25.46,,56.52,41.67,82.78,,,,,,,,,,113.3,19.72,,,,,,55.62571428571429
M.Williams,LAC,61.46,60.74,68.08,32.09,98.59,40.73,,35.2,40.58,31.04,39.21,46.18,47.96,35.68,58.68,,46.59,69.49,,,,,50.76875
J.Chase,CIN,76.65,46.54,71.42,69.58,82.08,62.77,62.46,49.24,80.19,,73.81,21.44,46.58,63.68,56.67,50.63,86.23,28.54,95.28,36.33,56.7,67.22,61.14476190476189
D.Swift,DET,29.86,17.93,30.5,25.4,27.22,31.27,42.91,27.17,,34.68,19.48,16.7,,,,,15.71,24.92,,,,,26.442307692307693
Z.Pascal,IND,37.5,31.7,53.89,30.38,30.88,9.83,46.89,36.28,78.33,9.09,9.21,34.96,29.1,,42.5,,23.04,12.74,,,,,32.269999999999996
D.Smith,PHI,74.14,78.54,44.99,67.72,64.02,42.35,64.75,60.59,91.93,70.99,63.78,30.51,51.3,,55.65,68.15,64.8,35.48,57.47,,,,60.39777777777777
K.Allen,LAC,63.58,59.46,66.86,65.46,45.65,26.4,,70.5,78.33,88.0,76.01,54.95,48.04,,68.93,36.95,79.8,23.81,,,,,59.54562499999999
M.Brown,BAL,45.84,100.79,60.99,37.99,56.06,44.2,89.83,,63.62,70.6,,64.0,46.78,53.25,69.78,53.33,68.35,52.61,,,,,61.12625
M.Jones,JAX,44.37,78.77,52.24,27.56,51.85,68.01,,39.53,46.61,48.62,65.26,42.9,31.02,41.49,33.21,82.75,66.1,68.52,,,,,52.282941176470594
B.Cooks,HOU,63.93,122.69,112.05,88.9,44.25,86.6,54.92,40.4,80.45,,30.97,58.89,49.7,54.53,80.19,,99.51,25.96,,,,,68.37125
N.Agholor,NE,49.72,26.22,43.44,40.11,33.46,49.66,38.72,53.67,,46.31,37.49,19.66,87.33,,33.4,,,32.28,18.53,,,,40.666666666666664
C.McCaffrey,CAR,42.19,28.46,7.54,,,,,,30.26,61.26,62.64,5.29,,,,,,,,,,,33.948571428571434
D.Chark,JAX,69.24,32.78,52.2,,,,,,,,,,,,,,,,,,,,51.406666666666666
J.Johnson,NO,24.42,46.31,16.04,24.56,6.79,,6.32,13.92,,20.27,,,9.84,11.7,,,15.45,20.7,,,,,18.026666666666667
J.Reagor,PHI,32.05,50.3,54.82,2.99,30.88,26.39,13.55,29.4,8.7,21.01,25.99,73.37,8.92,,21.48,29.79,9.77,18.61,12.49,,,,26.13944444444445
J.Waddle,MIA,41.44,35.03,48.27,25.48,31.19,60.5,45.33,71.11,56.53,45.03,61.48,97.87,61.99,,,93.75,39.21,71.2,,,,,55.338125000000005
D.Metcalf,SEA,61.63,75.12,91.11,103.26,39.89,59.32,68.37,54.05,,48.84,78.77,41.08,67.7,57.18,96.85,49.27,77.52,94.94,,,,,68.52352941176471
V.Jefferson,LA,44.02,26.32,35.0,35.59,29.6,23.85,44.56,51.96,43.39,42.72,,60.27,43.74,30.4,17.05,52.24,39.85,21.62,19.67,17.67,37.98,50.37,36.56523809523809
S.Diggs,BUF,60.11,70.58,60.26,88.6,52.38,52.78,,34.39,44.17,109.87,36.07,83.74,59.31,76.67,49.42,73.76,87.33,66.38,38.61,40.78,,,62.3794736842105
T.Higgins,CIN,41.89,82.3,,,41.94,49.39,94.31,59.67,53.74,,21.4,101.15,89.15,58.31,27.46,70.17,37.58,,33.6,73.33,80.05,56.04,59.52666666666667
D.Harris,NO,46.65,29.88,32.4,71.18,14.97,,,40.0,37.84,29.55,34.69,40.41,41.38,,,,20.25,45.98,,,,,37.321538461538466
A.Brown,TEN,54.53,64.27,25.54,,65.26,85.52,91.11,83.45,124.08,47.36,40.87,,,,,133.93,87.64,41.4,,107.74,,,75.19285714285715
K.Osborn,MIN,45.13,44.33,11.96,45.88,21.89,34.59,,19.4,15.93,6.66,35.5,14.63,33.73,68.76,24.67,53.65,46.63,45.89,,,,,33.484117647058824
D.Johnson,PIT,65.09,69.35,,84.27,26.15,87.69,,96.15,51.42,63.92,73.83,81.47,84.83,60.87,34.75,48.69,78.1,47.95,56.4,,,,65.34882352941177
D.Amendola,HOU,28.14,6.47,,,,,33.34,27.23,46.81,,10.33,42.59,,,,,,67.84,,,,,32.84375
D.Goedert,PHI,45.68,13.74,23.82,23.38,19.69,,48.81,89.47,79.01,20.08,72.17,18.62,64.41,,81.71,24.57,59.77,,64.24,,,,46.823125000000005
C.Beasley,BUF,52.6,23.66,57.84,10.45,15.55,40.26,,67.53,52.21,11.1,25.48,41.97,17.93,43.3,48.72,,60.49,21.01,9.35,40.74,,,35.56611111111111
Dj.Moore,CAR,60.46,68.46,93.54,67.55,49.36,85.93,64.32,84.14,78.04,52.14,63.63,81.63,,65.04,75.81,65.27,107.55,61.19,,,,,72.0035294117647
T.Patrick,DEN,25.06,22.68,62.72,38.52,53.43,31.79,47.97,35.1,63.52,36.88,,36.91,34.1,46.42,43.16,42.92,,93.85,,,,,44.68937499999999
S.Watkins,BAL,67.59,58.45,58.38,46.56,16.6,,,,,25.58,34.99,6.7,35.97,17.94,,,,6.7,,,,,34.13272727272727
J.Williams,DET,23.68,13.44,9.09,,9.07,8.06,,,,,,30.86,4.81,,,,11.84,5.81,,,,,12.962222222222222
J.Landry,CLE,31.88,6.07,,,,,54.84,86.55,49.99,26.42,67.22,67.8,,72.88,,42.42,56.21,84.34,,,,,53.88500000000001
J.Jeudy,DEN,49.3,,,,,,,38.32,64.58,71.65,,29.14,38.16,46.95,33.6,41.21,,63.11,,,,,47.602
H.Renfrow,LV,34.0,41.32,32.4,47.88,45.04,38.63,46.9,,35.67,48.8,28.98,54.2,58.16,68.94,27.08,36.86,65.06,33.5,46.35,,,,43.876111111111115
R.Anderson,CAR,37.22,50.82,10.64,70.52,60.56,54.48,53.92,18.2,20.35,37.99,42.66,32.56,,85.52,45.16,60.22,21.83,52.68,,,,,44.43117647058824
Z.Jones,LV,11.09,,3.92,3.48,15.8,,20.01,,32.26,27.84,36.55,45.56,42.58,38.57,74.12,71.83,74.51,64.0,40.38,,,,37.65624999999999
N.Fant,DEN,47.08,30.79,27.27,52.63,21.15,47.86,41.67,30.76,,38.32,,45.83,24.69,40.42,31.52,35.24,50.51,19.81,,,,,36.596875
J.Jefferson,MIN,54.83,89.63,74.9,51.85,66.94,74.75,,41.24,51.04,84.95,70.46,85.82,91.16,110.51,111.19,88.7,79.76,75.33,,,,,76.65058823529411
D.Parker,MIA,62.32,64.09,45.01,80.0,,,,70.31,,,,,33.05,,71.41,,79.97,41.3,,,,,60.82888888888889
B.Edwards,LV,27.0,17.48,33.51,27.92,48.53,41.5,31.79,,32.26,41.9,,4.51,42.18,23.88,20.54,,14.14,37.0,31.04,,,,29.69875
G.Davis,BUF,26.99,,6.7,6.65,9.31,8.89,,26.55,9.33,35.21,31.89,29.64,31.48,34.48,63.87,,27.39,83.75,30.78,86.23,,,32.30235294117647
L.Thomas,WAS,36.93,38.07,33.07,,,,,,,,,48.37,50.3,,,,,,,,,,41.348
L.Shenault,JAX,34.68,37.45,25.13,81.48,21.32,49.08,,16.5,26.12,46.91,33.2,44.37,33.97,39.38,34.18,,19.38,47.58,,,,,36.920624999999994
J.Taylor,IND,26.94,3.92,3.09,12.58,21.44,16.97,11.53,12.22,9.46,33.43,23.07,16.6,,,,11.07,12.5,20.45,,,,,15.684666666666665
T.Higbee,LA,43.22,6.76,20.33,31.04,10.46,31.24,35.34,13.55,52.98,22.22,,27.0,32.46,,,27.58,51.61,49.84,43.97,46.42,11.06,,30.948888888888884
G.Kittle,SF,44.42,16.47,57.77,56.65,,,,,54.17,80.46,41.93,12.46,93.07,90.81,61.31,20.29,25.9,39.96,23.0,95.65,49.48,,50.811764705882354
R.Woods,LA,30.13,76.77,35.19,34.2,82.39,38.65,31.4,53.58,48.43,,,,,,,,,,,,,,47.859999999999985
K.Drake,LV,16.12,27.33,26.15,,8.9,17.6,11.78,,22.93,14.61,11.34,7.13,7.18,,,,,,,,,,15.551818181818184
J.White,NE,36.65,31.07,5.59,,,,,,,,,,,,,,,,,,,,24.436666666666667
D.Johnson,HOU,20.87,9.04,,32.0,46.27,8.86,32.23,3.88,24.29,,21.52,12.84,,,5.99,,,21.03,,,,,19.901666666666667
N.Hines,IND,33.53,9.83,26.48,9.87,3.94,17.86,16.66,16.05,37.26,24.05,,14.46,45.45,,24.38,7.88,26.27,18.18,,,,,20.759375
J.O'Shaughnessy,JAX,30.52,7.87,,,,,,,,,,29.41,53.68,29.24,25.23,23.66,,,,,,,28.515714285714285
R.Moore,ARI,29.84,42.78,6.15,14.44,41.82,21.44,15.51,18.11,25.93,32.93,34.36,,12.76,15.15,6.74,,,,29.48,,,,23.162666666666667
P.Brown,HOU,38.98,6.47,,18.6,25.16,13.92,14.98,,,,31.41,8.33,31.86,,10.33,22.69,6.61,,,,,,19.11166666666667
J.Cook,LAC,38.76,27.94,19.18,42.55,16.4,41.81,,30.0,23.98,22.66,29.49,29.35,25.79,32.78,37.56,36.39,,26.61,,,,,30.078125000000004
D.Njoku,CLE,53.93,36.93,,9.38,46.17,11.42,9.38,21.73,31.9,30.16,26.48,34.66,,,38.9,13.15,22.59,18.44,,,,,27.01466666666666
D.Adams,GB,42.6,77.67,137.12,65.19,118.5,65.65,50.79,,107.16,64.04,58.07,42.78,,81.3,42.93,94.93,80.93,43.74,,104.03,,,75.14294117647057
A.Okwuegbunam,DEN,13.32,19.26,7.37,16.17,,,,24.36,31.48,18.98,,25.62,20.37,34.69,23.84,31.85,10.48,,,,,,21.36846153846154
D.Schultz,DAL,18.45,15.71,61.12,62.49,56.04,25.06,,37.06,25.33,17.3,42.32,41.96,25.19,16.04,48.47,44.11,56.06,22.05,39.55,,,,36.35055555555555
J.Meyers,NE,55.12,62.6,60.31,64.79,44.98,67.27,39.56,60.99,56.2,37.08,57.95,73.09,,,59.27,58.52,53.36,65.35,52.33,,,,56.9864705882353
Q.Cephus,DET,37.56,52.17,7.51,32.94,18.61,,,,,,,,,,,,,,,,,,29.758000000000003
K.Golladay,NYG,45.59,61.48,36.73,52.18,19.51,,,,62.24,,13.06,75.04,33.89,67.19,61.6,61.99,26.36,50.65,,,,,47.67928571428571
D.Cook,MIN,20.26,12.35,,22.38,,4.21,,8.68,15.45,14.34,18.18,26.28,,17.14,17.93,,9.56,7.9,,,,,14.973846153846154
T.Sherfield,SF,31.37,36.17,,12.44,,,18.98,,,,,7.32,30.79,,10.06,,18.29,6.35,16.54,,,,18.830999999999996
C.Rogers,TEN,40.59,27.5,16.06,27.79,16.47,5.26,,5.3,7.22,9.0,31.37,33.47,,8.54,21.98,4.13,18.76,8.73,,9.28,,,17.144117647058824
T.McLaurin,WAS,52.97,70.17,67.51,108.85,67.95,71.24,90.52,44.86,,54.71,97.12,66.86,43.37,29.23,56.12,62.18,44.54,90.34,,,,,65.7964705882353
C.Ridley,ATL,70.98,71.14,72.8,81.87,,,51.83,,,,,,,,,,,,,,,,69.724
B.Berrios,NYJ,35.96,68.37,25.56,3.12,3.65,,,9.98,11.24,13.26,4.81,23.89,6.45,46.66,3.67,52.75,82.36,,,,,,26.115333333333336
G.Everett,SEA,14.28,12.61,31.85,,,21.59,24.43,18.28,,35.12,30.41,51.46,25.69,12.3,30.79,41.91,42.65,24.79,,,,,27.877333333333336
A.Schwartz,CLE,60.08,15.69,8.18,12.77,14.84,19.75,35.83,,12.16,13.12,,,,,,5.1,10.5,37.24,,,,,20.438333333333333
A.Kamara,NO,28.08,45.38,30.34,,45.11,,53.22,20.85,24.0,,,,,57.02,46.93,23.2,42.33,8.46,,,,,35.41
A.Robinson,CHI,58.64,49.68,71.0,43.07,52.2,84.69,44.35,29.82,44.81,,,,,48.24,,,39.28,22.11,,,,,48.990833333333335
D.Slayton,NYG,48.14,49.96,6.35,,,,85.15,12.86,13.56,,55.01,36.02,54.46,22.02,26.4,31.68,,27.82,,,,,36.10999999999999
C.Manhertz,JAX,6.01,5.96,,8.25,,6.35,,,6.61,,,9.8,,,5.06,,7.85,,,,,,6.986250000000001
C.Kmet,CHI,39.09,6.52,46.0,45.49,56.25,39.02,39.39,41.19,59.75,,11.92,56.02,46.83,28.81,52.77,33.21,26.9,27.31,,,,,38.61588235294117
J.Smith,NE,25.34,30.53,23.17,18.49,16.57,14.04,29.64,7.93,16.66,,22.34,26.69,96.66,,16.55,,3.7,,,,,,24.87928571428571
