,PLAYER,POS,TEAM,ORDER,VOR
0,Christian McCaffrey,RB,1,1,252.40000000000003
1,Dalvin Cook,RB,2,2,195.1
2,Ezekiel Elliott,RB,3,3,138.60000000000002
3,Aaron Jones,RB,4,4,137.2
4,Alvin Kamara,RB,5,5,179.39999999999998
5,Derrick Henry,RB,6,6,158.3
6,Nick Chubb,RB,7,7,117.0
7,Saquon Barkley,RB,8,8,142.09999999999997
8,Jonathan Taylor,RB,9,9,131.2
9,Najee Harris,RB,10,10,119.60000000000002
10,Tyreek Hill,WR,11,11,182.6
11,Davante Adams,WR,12,12,197.0
12,Travis Kelce,TE,13,13,167.80000000000004
13,Stefon Diggs,WR,14,14,169.39999999999998
14,Austin Ekeler,RB,14,15,141.8
15,Antonio Gibson,RB,13,16,111.3
16,Calvin Ridley,WR,12,17,148.8
17,DeAndre Hopkins,WR,11,18,165.49999999999994
18,JK Dobbins,RB,10,19,83.9
19,Justin Jefferson,WR,9,20,131.89999999999998
20,AJ Brown,WR,8,21,122.2
21,Joe Mixon,RB,7,22,124.59999999999997
22,Clyde Edwards-Helaire,RB,6,23,102.9
23,DK Metcalf,WR,5,24,126.89999999999998
24,Terry McLaurin,WR,4,25,107.6
25,Darren Waller,TE,3,26,111.4
26,Keenan Allen,WR,2,27,133.0
27,Allen Robinson II,WR,1,28,114.99999999999994
28,CeeDee Lamb,WR,1,29,93.9
29,Chris Carson,RB,2,30,95.6
30,David Montgomery,RB,3,31,92.7
31,George Kittle,TE,4,32,109.7
32,Miles Sanders,RB,5,33,87.89999999999998
33,Patrick Mahomes II,QB,6,34,229.2
34,Chris Godwin,WR,7,35,85.39999999999998
35,Mike Evans,WR,8,36,95.79999999999998
36,Darrell Henderson,RB,9,37,74.30000000000001
37,Tyler Lockett,WR,10,38,102.1
38,Cooper Kupp,WR,11,39,97.29999999999998
39,Robert Woods,WR,12,40,109.1
40,Lamar Jackson,QB,13,41,201.8
41,Amari Cooper,WR,14,42,106.29999999999998
42,D'Andre Swift,RB,14,43,101.3
43,Mike Davis,RB,13,44,74.69999999999999
44,Josh Allen,QB,12,45,231.6
45,Josh Jacobs,RB,11,46,80.5
46,Mark Andrews,TE,10,47,58.79999999999998
47,DJ Moore,WR,9,48,87.30000000000001
48,Julio Jones,WR,8,49,83.4
49,TJ Hockenson,TE,7,50,44.29999999999998
50,Brandon Aiyuk,WR,6,51,65.49999999999997
51,Michael Gallup,WR,5,52,45.80000000000001
52,Michael Thomas,WR,4,53,38.5
53,Travis Etienne,RB,3,54,67.6
54,Diontae Johnson,WR,2,55,83.29999999999998
55,Myles Gaskin,RB,1,56,56.30000000000001
56,Kareem Hunt,RB,1,57,45.1
57,Kyle Pitts,TE,2,58,44.900000000000006
58,Adam Thielen,WR,3,59,91.5
59,Dak Prescott,QB,4,60,194.0
60,Kyler Murray,QB,5,61,211.3
61,Damien Harris,RB,6,62,14.400000000000006
62,Tee Higgins,WR,7,63,76.39999999999998
63,Trey Sermon,RB,8,64,-4.300000000000011
64,Russell Wilson,QB,9,65,185.6
65,Ja'Marr Chase,WR,10,66,67.69999999999999
66,Chase Edmonds,RB,11,67,68.79999999999998
67,Tyler Higbee,TE,12,68,15.5
68,Justin Herbert,QB,13,69,182.3
69,Robby Anderson,WR,14,70,64.19999999999999
70,Tom Brady,QB,14,71,176.40000000000003
71,Antonio Brown,WR,13,72,19.19999999999999
72,Javonte Williams,RB,12,73,25.40000000000001
73,Robert Tonyan,TE,11,74,10.5
74,James Robinson,RB,10,75,26.100000000000023
75,David Johnson,RB,9,76,4.699999999999989
76,Jalen Hurts,QB,8,77,158.3
77,Melvin Gordon III,RB,7,78,4.0
78,Odell Beckham Jr,WR,6,79,68.39999999999998
79,Ronald Jones II,RB,5,80,-5.599999999999994
80,Kenny Golladay,WR,4,81,68.5
81,Chase Claypool,WR,3,82,59.39999999999998
82,Leonard Fournette,RB,2,83,13.900000000000006
83,Aaron Rodgers,QB,1,84,185.7
84,JuJu Smith-Schuster,WR,1,85,71.09999999999997
85,Ryan Tannehill,QB,2,86,156.60000000000002
86,Matthew Stafford,QB,3,87,137.2
87,Raheem Mostert,RB,4,88,28.0
88,Joe Burrow,QB,5,89,140.40000000000003
89,Logan Thomas,TE,6,90,17.49999999999997
90,Kirk Cousins,QB,7,91,127.7
91,Dallas Goedert,TE,8,92,11.799999999999985
92,Noah Fant,TE,9,93,12.5
93,Matt Ryan,QB,10,94,125.60000000000002
94,Trevor Lawrence,QB,11,95,128.2
95,Michael Carter,RB,12,96,6.0
