,PLAYER,POS,FPTS,C,F,STD,VOR,VALUERANK,AVG,ADPRANK,SLEEPERSCORE,ECR,CI,IJ%,PGM,IPG%,D
0,Jonathan Taylor,RB,335.8236399187692,348.1333333333334,324.0209370173333,8.563827293885902,212.86685097682965,1.0,1.0,1.0,0.0,2.0,3.0,61%,1.8,5.4%,5.0
1,Austin Ekeler,RB,322.8088558958445,348.4666666666667,297.029001772,18.032283518188787,199.85206695390497,2.0,3.3,3.0,1.0,3.0,10.0,85%,3.5,10.6%,5.0
2,Christian McCaffrey,RB,318.2567345920229,327.78345057866665,308.58345057866666,7.524876417842471,195.29994565008343,3.0,2.8,2.0,-1.0,1.0,6.0,84%,2.2,10.2%,5.0
3,Cooper Kupp,WR,355.2848312728827,384.9666666666667,326.287331902,20.750062089877492,175.4545789932046,4.0,4.2,4.0,0.0,7.0,5.0,75%,2.0,7.8%,5.0
4,Josh Allen,QB,414.359915337317,444.7333333333333,383.84866486,22.04037270992863,162.86871696799847,5.0,21.3,22.0,17.0,35.0,6.0,26%,1.0,1.8%,3.0
5,Travis Kelce,TE,283.8319053279184,315.06666666666666,252.4092007611333,22.0723408629962,162.65501818719125,6.0,14.0,13.0,7.0,10.0,8.0,42%,0.7,3.2%,5.0
6,Derrick Henry,RB,284.53570427776907,293.9666666666667,274.96855853733337,7.405431700237776,161.57891533582955,7.0,4.5,5.0,-2.0,8.0,4.0,89%,1.9,12.2%,5.0
7,Najee Harris,RB,282.13398625343024,297.6,266.56281904400004,11.47687539713174,159.17719731149072,8.0,7.2,7.0,-1.0,6.0,6.0,53%,1.7,4.3%,5.0
8,Dalvin Cook,RB,274.04491921811945,287.03333333333336,261.13185689733336,9.93678301731068,151.08813027617992,9.0,7.7,8.0,-1.0,4.0,12.0,94%,3.6,15.3%,3.0
9,Alvin Kamara,RB,270.8756022190837,278.1333333333333,263.807109704,5.624356126480772,147.91881327714418,10.0,17.5,17.0,7.0,18.0,6.0,74%,2.7,7.6%,4.0
10,Joe Mixon,RB,268.050690551636,274.1,262.04729208000003,4.384902750489691,145.0939016096965,11.0,10.5,10.0,-1.0,9.0,7.0,88%,2.0,11.7%,5.0
11,Leonard Fournette,RB,267.8946679042711,275.5,260.30408844933334,5.722961728640509,144.93787896233158,12.0,23.7,25.0,13.0,20.0,11.0,87%,2.2,11.3%,4.0
12,Mark Andrews,TE,261.7134347629344,278.2333333333333,245.2754197653333,12.039162361170492,140.53654762220728,13.0,21.8,23.0,10.0,19.0,4.0,35%,0.7,2.5%,5.0
13,Patrick Mahomes,QB,383.7646723658336,408.8666666666666,358.32984769599994,18.456824281690672,132.273473996515,14.0,33.3,32.0,18.0,46.0,5.0,16%,0.9,1%,5.0
14,D'Andre Swift,RB,253.4906061459755,256.6051302293334,250.33333333333331,2.212293875095076,130.53381720403598,15.0,14.5,14.0,-1.0,11.0,5.0,88%,2.7,11.7%,4.0
15,Aaron Jones,RB,250.56639617828367,256.8666666666667,244.22160992533333,4.480628000628651,127.60960723634422,16.0,19.7,19.0,3.0,17.0,9.0,87%,3.4,11.3%,5.0
16,Justin Jefferson,WR,306.7431119354116,317.1666666666667,296.44665594693333,7.647697272356899,126.91285965573351,17.0,5.7,6.0,-11.0,5.0,3.0,61%,1.6,5.4%,5.0
17,Saquon Barkley,RB,240.49994424767735,247.63333333333333,233.48913296533337,5.1776910142539565,117.54315530573788,18.0,22.8,24.0,6.0,16.0,7.0,82%,2.5,9.6%,1.0
18,James Conner,RB,240.42274224431333,242.3209878,238.4543211333333,1.390608169937294,117.46595330237382,19.0,31.7,31.0,12.0,31.0,10.0,83%,2.5,9.9%,5.0
19,Javonte Williams,RB,238.60799121454792,238.948280674,238.28161400733333,0.2387898781992675,115.65120227260842,20.0,20.7,21.0,1.0,25.0,1.0,41%,2.1,3.1%,5.0
20,Justin Herbert,QB,365.7423878291613,394.0,337.225535676,20.33559375581319,114.25118945984276,21.0,35.8,36.0,15.0,43.0,3.0,15%,1.4,1%,5.0
21,Ja'Marr Chase,WR,290.95994101174904,299.1333333333334,282.827884428,6.007477996236151,111.12968873207096,22.0,8.8,9.0,-13.0,12.0,1.0,34%,1.1,2.4%,5.0
22,Davante Adams,WR,288.4557525729293,309.7,267.1836069493333,15.286226073871862,108.62550029325124,23.0,11.2,11.0,-12.0,14.0,10.0,83%,3.6,9.9%,5.0
23,Lamar Jackson,QB,359.9965870884436,392.7,327.78772605066666,23.036521674468155,108.50538871912504,24.0,48.0,49.0,25.0,49.0,5.0,9%,0.4,0.6%,5.0
24,Jalen Hurts,QB,357.9562358226692,385.0,330.2757377773333,19.642316364618484,106.46503745335065,25.0,65.8,62.0,37.0,68.0,2.0,12%,1.1,0.7%,5.0
25,David Montgomery,RB,225.67094360680747,229.4333333333333,221.881535104,2.697259500198908,102.71415466486796,26.0,34.2,34.0,8.0,38.0,4.0,76%,1.5,8.1%,5.0
26,Stefon Diggs,WR,279.6135429396336,293.40000000000003,265.636422496,9.82345366741548,99.7832906599555,27.0,12.8,12.0,-15.0,13.0,7.0,39%,1.6,2.9%,5.0
27,Nick Chubb,RB,220.89794067690576,224.0666666666667,217.84770535066664,2.415123415888963,97.94115173496624,28.0,17.3,16.0,-12.0,27.0,4.0,60%,0.6,5.2%,5.0
28,Kyler Murray,QB,348.4211090916112,370.7,326.0785379960001,15.753737860377187,96.92991072229262,29.0,59.5,56.0,27.0,66.0,5.0,26%,1.2,1.8%,5.0
29,Deebo Samuel,WR,275.3714200026234,286.2333333333333,264.62576451600006,7.626429726590901,95.54116772294527,30.0,17.2,15.0,-15.0,24.0,12.0,74%,2.4,7.6%,2.0
30,Tom Brady,QB,345.576325819848,373.76666666666665,317.32737221133334,20.405383144958577,94.08512745052946,31.0,81.0,81.0,50.0,81.0,7.0,5%,0.6,0.3%,5.0
31,JK Dobbins,RB,213.63289999999995,219.2,208.2,3.892396124497095,90.67611105806044,32.0,50.2,50.0,18.0,48.0,3.0,79%,2.8,8.8%,5.0
32,Dak Prescott,QB,341.9739595306973,360.4666666666667,323.4091602826666,13.228075839098606,90.48276116137872,33.0,78.5,76.0,43.0,85.0,6.0,11%,1.2,0.7%,3.0
33,Cam Akers,RB,213.35149817817972,223.85144487466667,202.63333333333333,7.570427443758894,90.39470923624025,34.0,36.2,37.0,3.0,40.0,4.0,57%,1.2,4.8%,4.0
34,Ezekiel Elliott,RB,212.91343955250773,220.477633578,205.41096691133336,5.9024989449649325,89.95665061056822,35.0,29.7,29.0,-6.0,32.0,,,,,
35,Breece Hall,RB,210.514201236603,211.08172701933336,209.948393686,0.460039435941971,87.55741229466348,36.0,51.2,52.0,16.0,39.0,,,,,
36,Josh Jacobs,RB,210.49495457280577,212.59545475066665,208.36666666666665,1.5263484097839208,87.53816563086626,37.0,44.3,45.0,8.0,51.0,7.0,68%,1.8,6.5%,4.0
37,CeeDee Lamb,WR,266.97617610762,274.1666666666667,259.81230958866666,5.136307324335494,87.14592382794191,38.0,18.0,18.0,-20.0,15.0,5.0,24%,1.5,1.6%,5.0
38,Travis Etienne,RB,205.946425,213.1,198.8,5.097602766926326,82.98963605806047,39.0,45.3,47.0,8.0,37.0,3.0,77%,1.7,8.3%,5.0
39,Darren Waller,TE,203.88143248401,215.5,192.1565470533333,8.50342242413695,82.70454534328286,40.0,46.7,48.0,8.0,54.0,9.0,41%,2.1,3.1%,5.0
40,Kyle Pitts,TE,202.15217093103567,205.9,198.39306759866668,2.8164837188294127,80.97528379030854,41.0,34.8,35.0,-6.0,33.0,4.0,73%,2.6,7.4%,0.0
41,Aaron Rodgers,QB,330.49098271634693,351.8666666666666,309.661631772,16.23151900233745,78.99978434702837,42.0,82.0,85.0,43.0,98.0,10.0,14%,0.7,0.9%,5.0
42,Tyreek Hill,WR,258.7718926846083,264.9666666666667,252.52736923333336,4.7544514299949165,78.94164040493021,43.0,20.2,20.0,-23.0,21.0,7.0,75%,2.7,7.8%,5.0
43,Antonio Gibson,RB,201.87201646094232,205.56605988400003,198.16666666666663,2.750539715915612,78.91522751900281,44.0,43.0,42.0,-2.0,52.0,5.0,56%,0.8,4.7%,5.0
44,George Kittle,TE,200.03960196738527,216.5666666666667,183.6963478533333,12.002192649019278,78.86271482665819,45.0,41.3,39.0,-6.0,50.0,10.0,92%,3.1,13.8%,5.0
45,Keenan Allen,WR,254.78313548952255,268.2,241.633110476,9.745673368663317,74.95288320984449,46.0,28.5,27.0,-19.0,22.0,12.0,79%,4.4,8.8%,4.0
46,Matthew Stafford,QB,325.9170505080626,356.7333333333333,295.8389044146667,21.93521781377287,74.425852138744,47.0,89.8,90.0,43.0,101.0,18.0,12%,1.7,0.7%,4.0
47,Joe Burrow,QB,323.39698049288404,342.1666666666667,304.3412423946667,13.448517772624015,71.90578212356547,48.0,60.5,57.0,9.0,77.0,9.0,65%,1.5,6%,0.0
48,Russell Wilson,QB,322.75966929349966,342.8333333333333,303.117536196,15.501599657535571,71.26847092418109,49.0,81.3,82.0,33.0,84.0,3.0,12%,1.1,0.7%,5.0
49,Miles Sanders,RB,193.60671784071505,200.37891974,187.0666666666667,4.95954452879027,70.64992889877551,50.0,70.8,72.0,22.0,71.0,8.0,94%,3.9,15.3%,5.0
50,Michael Pittman,WR,249.84543499999995,254.0,245.7,2.9418166854471104,70.01518272032186,51.0,38.5,38.0,-13.0,26.0,6.0,91%,2.7,13.2%,4.0
51,Dalton Schultz,TE,190.457341698596,196.63333333333333,184.27411900666667,4.6243530220889,69.28045455786886,52.0,62.5,58.0,6.0,62.0,2.0,15%,1.9,1%,5.0
52,Tee Higgins,WR,246.46387834831617,250.83333333333331,242.08540063733332,3.561132665839257,66.63362606863808,53.0,33.3,33.0,-20.0,28.0,6.0,91%,3.9,13.2%,5.0
53,Elijah Mitchell,RB,188.89168143143027,198.26176778266665,179.63333333333333,7.605960813639251,65.93489248949076,54.0,50.8,51.0,-3.0,56.0,,,,,
54,Tony Pollard,RB,187.42403034741608,196.33333333333331,178.5096976013334,6.358329115332428,64.46724140547657,55.0,81.7,84.0,29.0,74.0,1.0,49%,1.2,3.9%,5.0
55,Mike Evans,WR,243.91017290667224,254.76666666666665,233.2209300013333,8.73036085810015,64.07992062699415,56.0,27.0,26.0,-30.0,23.0,11.0,46%,1.9,3.6%,5.0
56,Damien Harris,RB,185.608440608082,192.6,178.47005291999997,5.266811617750132,62.65165166614248,57.0,69.3,68.0,11.0,76.0,9.0,88%,3.5,11.7%,4.0
57,Trey Lance,QB,313.95700571949425,334.00000000000006,293.73850743866666,14.195040517502877,62.46580735017568,58.0,104.2,101.0,43.0,97.0,3.0,10%,0.8,0.6%,5.0
58,DJ Moore,WR,241.27176896918,248.2,234.34790957666667,5.040629919805901,61.44151668950192,59.0,44.0,43.0,-16.0,30.0,4.0,59%,1.1,5.1%,5.0
59,Devin Singletary,RB,184.29748296211156,186.74308798266668,181.76666666666665,1.829305508255096,61.34069402017202,60.0,81.5,83.0,23.0,79.0,1.0,91%,3.7,13.2%,5.0
60,Jaylen Waddle,WR,239.44073875504773,249.6,229.4835665306667,8.076940702671859,59.61048647536964,61.0,41.8,40.0,-21.0,36.0,2.0,43%,1.7,3.3%,2.0
61,Cordarrelle Patterson,RB,181.88088922969547,188.7,175.13508584133334,5.077546154255243,58.92410028775596,62.0,80.8,79.0,17.0,83.0,10.0,89%,2.6,12.2%,5.0
62,AJ Brown,WR,237.9119,239.6,236.2,1.202263028625602,58.08164772032191,63.0,30.5,30.0,-33.0,29.0,6.0,50%,1.2,4%,5.0
63,Kirk Cousins,QB,309.1967848485985,338.76666666666665,279.2706310726667,21.30224411747417,57.70558647927999,64.0,122.8,117.0,53.0,110.0,1.0,5%,0.2,0.3%,5.0
64,Kareem Hunt,RB,180.52947051003468,187.77443981,173.50777314333334,5.116820000680621,57.57268156809518,65.0,80.8,80.0,15.0,72.0,6.0,20%,0.4,1.3%,5.0
65,Clyde Edwards-Helaire,RB,179.87605283130375,183.13333333333333,176.65204508933334,2.435126000858818,56.919263889364245,66.0,65.3,61.0,-5.0,70.0,6.0,91%,3.1,13.2%,2.0
66,Diontae Johnson,WR,233.80109076786496,242.6,225.15612286,6.367707705945895,53.97083848818687,67.0,44.0,44.0,-23.0,34.0,6.0,84%,3.8,10.2%,5.0
67,Brandin Cooks,WR,232.75074037094464,241.3,224.0049167933333,6.928663026835846,52.92048809126655,68.0,55.3,54.0,-14.0,42.0,5.0,34%,1.0,2.4%,5.0
68,Chase Edmonds,RB,174.11294202811465,187.5,160.81874842666664,9.42368813902275,51.15615308617514,69.0,93.0,93.0,24.0,67.0,9.0,89%,4.1,12.2%,5.0
69,AJ Dillon,RB,173.03272140785003,180.9333333333333,165.09289505333334,6.412354114517616,50.075932465910526,70.0,66.7,64.0,-6.0,55.0,5.0,82%,1.9,9.6%,5.0
70,Dallas Goedert,TE,169.77119695341574,181.0666666666667,158.35599278533334,8.087197712989505,48.59430981268861,71.0,78.8,78.0,7.0,86.0,6.0,58%,0.9,5%,5.0
71,Mike Williams,WR,227.5395691554149,237.03333333333333,217.95878995466668,6.915818408941901,47.70931687573682,72.0,52.8,53.0,-19.0,45.0,7.0,93%,2.9,14.5%,2.0
72,TJ Hockenson,TE,166.60138,166.9,166.3,0.2103808346784448,45.42449285927288,73.0,67.3,65.0,-8.0,75.0,6.0,74%,3.7,7.6%,5.0
73,Derek Carr,QB,295.8495780795102,320.1,271.33261684133333,17.530811941064567,44.35837971019163,74.0,110.3,108.0,34.0,113.0,9.0,36%,1.7,2.6%,5.0
74,Chris Godwin,WR,224.11085492598897,241.86666666666665,206.4493387533333,13.309753992251332,44.28060264631088,75.0,58.2,55.0,-20.0,65.0,7.0,58%,1.4,5%,5.0
75,Terry McLaurin,WR,223.73861684566376,226.510272654,220.910272654,2.11657931744809,43.90836456598569,76.0,42.2,41.0,-35.0,41.0,6.0,78%,2.1,8.5%,5.0
76,Allen Robinson,WR,221.74603,241.6,201.9,14.005155648513869,41.9157777203219,77.0,69.5,69.0,-8.0,53.0,10.0,93%,2.8,14.5%,4.0
77,Marquise Brown,WR,221.10485581267,229.66666666666663,212.45713452000004,6.662001431725608,41.27460353299193,78.0,68.2,66.0,-12.0,58.0,9.0,91%,3.6,13.2%,5.0
78,Michael Thomas,WR,220.6299502631467,241.33333333333331,199.82244004666669,14.580445641993084,40.79969798346861,79.0,74.2,73.0,-6.0,59.0,5.0,81%,1.9,9.3%,3.0
79,Zach Ertz,TE,161.7984745391233,172.0333333333333,151.48416491333333,7.361982094902225,40.62158739839617,80.0,91.8,92.0,12.0,93.0,11.0,89%,4.6,12.2%,5.0
80,Rhamondre Stevenson,RB,163.37030544441413,170.52883897866667,156.1,5.6141011384093,40.41351650247462,81.0,109.0,105.0,24.0,87.0,3.0,25%,1.1,1.7%,5.0
81,Mike Gesicki,TE,159.1218946333732,170.23333333333335,148.051002184,8.35295785615749,37.945007492646056,82.0,116.3,111.0,29.0,126.0,2.0,31%,0.7,2.2%,5.0
82,Melvin Gordon,RB,158.954095,163.5,154.4,3.202176054025604,35.99730605806049,83.0,101.7,99.0,16.0,90.0,12.0,92%,4.5,13.8%,5.0
83,DK Metcalf,WR,215.12226424995927,220.12824707466663,210.19491374133332,3.779238421161597,35.29201197028118,84.0,45.2,46.0,-38.0,47.0,5.0,41%,1.9,3.1%,2.0
84,Rashaad Penny,RB,157.58249365783678,168.7829223426667,146.316255676,7.963261936041098,34.62570471589727,85.0,84.7,87.0,2.0,82.0,7.0,66%,2.0,6.1%,4.0
85,Courtland Sutton,WR,214.41204453782652,219.77175059066667,209.105083924,4.091189272141939,34.581792258148454,86.0,64.7,60.0,-26.0,44.0,5.0,47%,1.8,3.7%,2.0
86,Jerry Jeudy,WR,213.76592568990029,215.84574780133332,211.712414468,1.6122561325602902,33.93567341022219,87.0,66.2,63.0,-24.0,60.0,6.0,85%,2.7,10.6%,5.0
87,Trevor Lawrence,QB,284.82003100023286,305.6333333333333,264.0488032906667,15.288236909172635,33.32883263091429,88.0,162.7,157.0,69.0,145.0,4.0,9%,0.5,0.6%,5.0
88,Darnell Mooney,WR,211.6376192153536,212.914701544,210.38136821066664,0.9974110729757972,31.807366935675475,89.0,70.5,71.0,-18.0,57.0,3.0,79%,2.2,8.8%,5.0
89,Ryan Tannehill,QB,283.2934852905354,306.3333333333333,260.68281546799994,16.306175293986858,31.80228692121682,90.0,184.7,184.0,94.0,176.0,4.0,13%,1.0,0.8%,5.0
90,Pat Freiermuth,TE,151.98425467034232,158.33333333333334,145.492880972,4.758196012516472,30.807367529615192,91.0,116.3,112.0,21.0,105.0,3.0,13%,0.4,0.8%,5.0
91,Tua Tagovailoa,QB,279.50523800846184,295.7333333333333,263.078887564,11.567037346138443,28.01403963914328,92.0,138.8,127.0,35.0,132.0,9.0,73%,2.2,7.4%,2.0
92,James Robinson,RB,150.7652916277762,159.865330308,141.53333333333333,6.934235521303284,27.8085026858367,93.0,107.8,104.0,11.0,122.0,3.0,72%,1.3,7.2%,5.0
93,JuJu Smith-Schuster,WR,206.6000189407365,212.66666666666663,200.58220137866667,4.23335922919102,26.76976666105841,94.0,82.3,86.0,-8.0,69.0,12.0,91%,3.6,13.2%,5.0
94,Dameon Pierce,RB,149.4657155364002,171.93259762466667,127.53259762466666,18.043065599692167,26.508926594460704,95.0,142.3,134.0,39.0,114.0,,,,,
95,Adam Thielen,WR,205.9191952207337,214.9333333333333,196.99057935333332,6.416183840009039,26.08894294105562,96.0,69.7,70.0,-26.0,78.0,7.0,67%,2.1,6.3%,5.0
96,Hunter Renfrow,WR,205.3941310672816,208.63333333333333,202.06285234933335,2.611376697490555,25.5638787876035,97.0,78.0,74.0,-23.0,88.0,3.0,63%,1.5,5.7%,3.0
97,Amari Cooper,WR,205.372884413861,206.3237864813333,204.4333333333333,0.6817695149983313,25.54263213418289,98.0,62.7,59.0,-39.0,61.0,14.0,53%,1.4,4.3%,5.0
98,Hunter Henry,TE,144.7803436506955,149.52382945066665,139.99049611733332,3.369706853508535,23.603456509968368,99.0,146.7,139.0,40.0,128.0,7.0,65%,1.8,6%,2.0
99,Rashod Bateman,WR,202.64437145188117,208.8785405926667,196.47854059266663,4.907870670365086,22.81411917220305,100.0,93.2,94.0,-6.0,64.0,2.0,16%,0.3,1%,5.0
100,Gabriel Davis,WR,201.3168119297288,208.435129774,194.1684631073333,5.655146773637805,21.486559650050708,101.0,78.7,77.0,-24.0,80.0,2.0,12%,1.0,0.7%,5.0
101,Tyler Higbee,TE,142.51414831091213,149.66666666666666,135.10127885733334,5.302963619861207,21.337261170185,102.0,182.8,183.0,81.0,148.0,8.0,79%,2.7,8.8%,5.0
102,Cole Kmet,TE,141.96189117189172,144.6,139.29972284266665,1.8944220261236535,20.78500403116459,103.0,140.0,131.0,28.0,108.0,2.0,63%,1.5,5.7%,4.0
103,Gerald Everett,TE,141.73218961795993,153.0,130.74277409466666,8.02273746299271,20.5553024772328,104.0,190.2,193.0,89.0,149.0,4.0,45%,1.5,3.5%,5.0
104,Noah Fant,TE,141.12834707028497,145.27754612133336,136.944212788,3.0627169860106944,19.951459929557814,105.0,166.5,163.0,58.0,137.0,6.0,89%,3.1,12.2%,5.0
105,Jameis Winston,QB,270.89882302278073,295.3666666666667,245.83654798933333,18.33578976761887,19.407624653462165,106.0,181.2,179.0,73.0,156.0,7.0,29%,0.9,2%,5.0
106,Matt Ryan,QB,270.4030323053196,296.96666666666664,243.789723652,19.090233619608192,18.911833936001017,107.0,166.2,162.0,55.0,164.0,3.0,10%,0.6,0.6%,5.0
107,Dawson Knox,TE,139.554283677506,142.83333333333334,136.26222024666666,2.3777875400728257,18.37739653677886,108.0,97.3,96.0,-12.0,111.0,3.0,85%,2.9,10.6%,5.0
108,Tyler Lockett,WR,196.47262449744983,203.88994055600003,189.15660722266665,5.22578400107067,16.642372217771765,109.0,91.2,91.0,-18.0,94.0,5.0,49%,1.5,3.9%,5.0
109,Michael Carter,RB,139.45078736415735,144.16428189333337,134.70000000000002,3.3476741024989534,16.493998422217842,110.0,110.0,107.0,-3.0,106.0,3.0,19%,0.8,1.2%,5.0
110,David Njoku,TE,137.41245858323435,139.0666666666667,135.77651270533332,1.171972918337966,16.235571442507222,111.0,171.7,169.0,58.0,152.0,3.0,81%,5.9,9.3%,3.0
111,Christian Kirk,WR,195.5590828476078,204.552791234,186.95279123400005,6.715591996806806,15.72883056792972,112.0,107.0,102.0,-10.0,96.0,3.0,84%,2.4,10.2%,5.0
112,Justin Fields,QB,267.0259644336056,275.8333333333333,258.4080232586667,6.262681794646715,15.534766064287057,113.0,147.7,140.0,27.0,136.0,6.0,13%,2.8,0.8%,5.0
113,James Cook,RB,138.424944689183,139.53333333333333,137.328756244,0.7974717581828077,15.4681557472435,114.0,117.3,114.0,0.0,104.0,,,,,
114,Robert Woods,WR,195.0128759519908,203.33333333333331,186.57980958066665,6.37263890027416,15.182623672312673,115.0,102.7,100.0,-15.0,102.0,12.0,91%,2.9,13.2%,5.0
115,Elijah Moore,WR,193.6382840363992,198.6,188.692213936,3.644545131682767,13.808031756721109,116.0,86.5,88.0,-28.0,73.0,2.0,16%,0.6,1%,5.0
116,Austin Hooper,TE,134.14582309188293,143.84174858933332,124.508415256,7.74136747851729,12.9689359511558,117.0,210.7,215.0,98.0,170.0,4.0,22%,0.9,1.5%,5.0
117,Nyheim Hines,RB,135.45021647832445,141.66837146266667,129.29999999999998,4.610476768648085,12.493427536384942,118.0,137.0,125.0,7.0,107.0,3.0,41%,1.7,3.1%,5.0
118,Evan Engram,TE,133.18309521294367,141.20000000000002,125.37722259333334,5.984191394602533,12.006208072216538,119.0,185.3,186.0,67.0,160.0,9.0,92%,3.8,13.8%,5.0
119,DeVonta Smith,WR,191.30240967936663,196.82249801666669,185.75583135,4.004675835710043,11.47215739968857,120.0,87.7,89.0,-31.0,89.0,6.0,89%,3.7,12.2%,5.0
120,Daniel Jones,QB,261.24687411539463,265.2,257.240064612,2.9961594863046463,9.755675746076063,121.0,233.8,254.0,133.0,190.0,7.0,61%,1.7,5.4%,5.0
