#,Player,Pos,Team,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL
1,Christian McCaffrey,RB,SF,25.2,25.9,22.5,22.9,48.7,13.8,14.2,22.6,29.8,-,20.2,21.3,30.9,22.3,16.3,41.7,,,,353.1
2,Josh Allen,QB,BUF,24.1,12,23.7,22.3,36.5,28.8,14.9,25.3,30.1,25.7,16.4,23.5,40.7,-,21.5,16.2,,,,337.4
3,Jalen Hurts,QB,PHI,23.3,12.5,26.2,21.9,24.2,28.3,22.9,24.3,27.4,25.9,-,19.9,35.5,23.9,8.9,23.9,,,,325.6
4,Tyreek Hill,WR,MIA,24.8,44.5,15,30.7,10.2,32.1,28.3,25.8,25.2,12.5,-,30.6,25.4,32.3,10.1,-,,,,322.7
5,CeeDee Lamb,WR,DAL,21.6,11.7,25.3,10.2,14.8,8.9,18.7,-,41,28.1,39.5,16.5,17.3,32.6,19.1,18.6,,,,302.3
6,Dak Prescott,QB,DAL,20.4,6.3,19.6,15.4,14.3,7.3,24.9,-,29.1,28.4,38.9,16.2,32.2,28.3,17.9,7.1,,,,285.8
7,Brock Purdy,QB,SF,20.2,16.8,14.7,20.3,21.3,26.1,8.7,14.8,20.3,-,23.8,26.7,11.5,29.5,22.4,25.7,,,,282.6
8,Lamar Jackson,QB,BAL,20,7.6,22.9,28.2,28.1,10.9,18.1,33.9,12,11.5,15,24,15,-,32.6,19.5,,,,279.3
9,Keenan Allen,WR,LAC,21.5,14.2,31.1,45.5,12.2,-,21.5,9.5,14.9,15.7,40.5,27.6,22.6,10.8,12.8,-,,,,278.9
10,A.J. Brown,WR,PHI,19,14.9,6.9,22.1,38.5,18.7,20.1,29.7,33,19.6,-,1.8,14.7,19.4,16.4,10.6,,,,266.4
11,Patrick Mahomes,QB,KC,18.9,20.5,22.2,25.7,15.2,19.2,18.3,34.9,7.6,15.8,-,17.9,20.8,14,14.6,17.7,,,,264.5
12,Sam Howell,QB,WAS,18.6,16.2,21.3,4.6,19.6,26.4,18.3,10.5,32,18.7,24.2,20.7,18.3,20.2,-,9.3,,,,260.2
13,Jordan Love,QB,GB,18.5,23,20.3,25.3,19.6,8,-,16.3,15.6,13.8,18.7,20.9,26.6,23.7,9.9,17.5,,,,259.1
14,Raheem Mostert,RB,MIA,18.3,13,25.7,45.2,5.5,15.8,34.2,6.1,10.6,14.5,-,10.3,21.4,12.1,23,18.3,,,,255.7
15,Jared Goff,QB,DET,18.2,14,23.9,19,12.4,27.4,22.4,10.4,13.7,-,21.1,16.7,18.2,16.3,8.4,31.1,,,,255.2
16,Amon-Ra St. Brown,WR,DET,19.4,19.1,14.2,19.6,16.6,-,30.4,23.2,16.8,-,30.5,21.7,18.5,12.9,5.1,24.2,,,,252.8
17,Ja'Marr Chase,WR,CIN,17.8,9.1,8.1,26.1,14.3,52.2,14,-,25.2,8.1,23.4,9.2,12.1,31.6,5.9,10.4,,,,249.7
18,C.J. Stroud,QB,HOU,19,10.7,21.5,20.6,21.8,14.2,15.2,-,12.9,41.8,20,18.3,30.9,16.1,3.6,-,,,,247.5
